DayOfYear,Hour,foF2,Longitude,Latitude,F10.7
1,1,2.25,288.5,42.6,
1,2,2.25,288.5,42.6,
1,3,2.05,288.5,42.6,
1,4,2.55,288.5,42.6,
1,5,2.25,288.5,42.6,
1,6,2.2,288.5,42.6,
1,7,2.45,288.5,42.6,
1,8,2.1,288.5,42.6,
1,9,1.75,288.5,42.6,
1,10,2.1,288.5,42.6,
1,11,2.0,288.5,42.6,
1,12,1.7,288.5,42.6,
1,13,2.7,288.5,42.6,
1,14,4.4,288.5,42.6,
1,15,4.725,288.5,42.6,
1,16,5.175,288.5,42.6,
1,17,5.407,288.5,42.6,
1,18,5.463,288.5,42.6,
1,19,5.65,288.5,42.6,
1,20,5.375,288.5,42.6,
1,21,4.613,288.5,42.6,
1,22,4.129,288.5,42.6,
1,23,2.75,288.5,42.6,
1,24,2.55,288.5,42.6,
2,1,2.15,288.5,42.6,
2,2,2.0,288.5,42.6,
2,3,1.95,288.5,42.6,
2,4,2.3,288.5,42.6,
2,5,2.4,288.5,42.6,
2,6,2.6,288.5,42.6,
2,7,2.2,288.5,42.6,
2,8,2.15,288.5,42.6,
2,9,2.85,288.5,42.6,
2,10,2.9,288.5,42.6,
2,11,2.9,288.5,42.6,
2,12,2.85,288.5,42.6,
2,13,2.85,288.5,42.6,
2,14,3.95,288.5,42.6,
2,15,4.725,288.5,42.6,
2,16,5.075,288.5,42.6,
2,17,4.606,288.5,42.6,
2,18,4.75,288.5,42.6,
2,19,5.457,288.5,42.6,
2,20,5.425,288.5,42.6,
2,21,4.75,288.5,42.6,
2,22,3.75,288.5,42.6,
2,23,3.25,288.5,42.6,
2,24,2.35,288.5,42.6,
3,1,2.35,288.5,42.6,
3,2,2.25,288.5,42.6,
3,3,2.05,288.5,42.6,
3,4,2.2,288.5,42.6,
3,5,2.2,288.5,42.6,
3,6,2.55,288.5,42.6,
3,7,2.65,288.5,42.6,
3,8,3.0,288.5,42.6,
3,9,3.0,288.5,42.6,
3,10,3.0,288.5,42.6,
3,11,2.85,288.5,42.6,
3,12,2.15,288.5,42.6,
3,13,2.8,288.5,42.6,
3,14,3.95,288.5,42.6,
3,15,4.851,288.5,42.6,
3,16,4.688,288.5,42.6,
3,17,4.8,288.5,42.6,
3,18,5.175,288.5,42.6,
3,19,5.025,288.5,42.6,
3,20,5.7,288.5,42.6,
3,21,5.45,288.5,42.6,
3,22,4.15,288.5,42.6,
3,23,3.15,288.5,42.6,
3,24,2.3,288.5,42.6,
4,1,1.9,288.5,42.6,
4,2,1.95,288.5,42.6,
4,3,2.15,288.5,42.6,
4,4,2.55,288.5,42.6,
4,5,2.95,288.5,42.6,
4,6,3.3,288.5,42.6,
4,7,3.65,288.5,42.6,
4,8,3.85,288.5,42.6,
4,9,3.25,288.5,42.6,
4,10,2.75,288.5,42.6,
4,11,2.6,288.5,42.6,
4,12,2.45,288.5,42.6,
4,13,2.95,288.5,42.6,
4,14,4.95,288.5,42.6,
4,15,5.775,288.5,42.6,
4,16,5.663,288.5,42.6,
4,17,5.275,288.5,42.6,
4,18,5.4,288.5,42.6,
4,19,6.325,288.5,42.6,
4,20,6.013,288.5,42.6,
4,21,6.425,288.5,42.6,
4,22,5.275,288.5,42.6,
4,23,4.7,288.5,42.6,
4,24,4.0,288.5,42.6,
5,1,2.75,288.5,42.6,
5,2,3.1,288.5,42.6,
5,3,3.25,288.5,42.6,
5,4,3.5,288.5,42.6,
5,5,3.1,288.5,42.6,
5,6,3.1,288.5,42.6,
5,7,3.65,288.5,42.6,
5,8,4.25,288.5,42.6,
5,9,3.8,288.5,42.6,
5,10,3.85,288.5,42.6,
5,11,3.25,288.5,42.6,
5,12,2.75,288.5,42.6,
5,13,2.95,288.5,42.6,
5,14,4.3,288.5,42.6,
5,15,5.075,288.5,42.6,
5,16,5.713,288.5,42.6,
5,17,5.863,288.5,42.6,
5,18,5.963,288.5,42.6,
5,19,5.725,288.5,42.6,
5,20,5.675,288.5,42.6,
5,21,5.1,288.5,42.6,
5,22,4.5,288.5,42.6,
5,23,3.5,288.5,42.6,
6,1,2.25,288.5,42.6,
6,2,2.15,288.5,42.6,
6,3,1.85,288.5,42.6,
6,4,2.05,288.5,42.6,
6,5,2.05,288.5,42.6,
6,6,2.75,288.5,42.6,
6,7,2.9,288.5,42.6,
6,8,3.1,288.5,42.6,
6,9,3.0,288.5,42.6,
6,10,2.85,288.5,42.6,
6,11,2.8,288.5,42.6,
6,12,2.05,288.5,42.6,
6,13,2.7,288.5,42.6,
6,14,4.95,288.5,42.6,
6,15,5.775,288.5,42.6,
6,16,5.225,288.5,42.6,
6,17,5.975,288.5,42.6,
6,18,5.875,288.5,42.6,
6,19,5.975,288.5,42.6,
