DayOfYear,Hour,foF2,Longitude,Latitude,F10.7
1,1,2.85,292.9,18.5,
1,2,2.3,292.9,18.5,
1,3,2.75,292.9,18.5,
1,4,2.85,292.9,18.5,
1,5,3.15,292.9,18.5,
1,6,5.65,292.9,18.5,
1,7,2.9,292.9,18.5,
1,8,3.4,292.9,18.5,
1,9,2.15,292.9,18.5,
1,10,2.2,292.9,18.5,
1,11,2.55,292.9,18.5,
1,12,4.0,292.9,18.5,
1,13,4.6,292.9,18.5,
1,14,5.425,292.9,18.5,
1,15,4.6,292.9,18.5,
1,16,5.25,292.9,18.5,
1,17,5.4,292.9,18.5,
1,18,5.45,292.9,18.5,
1,19,5.15,292.9,18.5,
1,20,5.6,292.9,18.5,
1,21,7.3,292.9,18.5,
1,22,4.9,292.9,18.5,
1,23,3.65,292.9,18.5,
1,24,3.2,292.9,18.5,
2,1,2.55,292.9,18.5,
2,2,3.35,292.9,18.5,
2,3,3.55,292.9,18.5,
2,4,3.55,292.9,18.5,
2,5,4.15,292.9,18.5,
2,6,3.05,292.9,18.5,
2,7,3.05,292.9,18.5,
2,8,3.05,292.9,18.5,
2,9,3.0,292.9,18.5,
2,10,2.4,292.9,18.5,
2,11,3.1,292.9,18.5,
2,12,3.8,292.9,18.5,
2,13,4.9,292.9,18.5,
2,14,4.925,292.9,18.5,
2,15,4.85,292.9,18.5,
2,16,5.925,292.9,18.5,
2,17,5.475,292.9,18.5,
2,18,5.8,292.9,18.5,
2,19,5.75,292.9,18.5,
2,20,4.906,292.9,18.5,
2,21,5.6,292.9,18.5,
2,22,4.45,292.9,18.5,
2,23,4.15,292.9,18.5,
2,24,2.9,292.9,18.5,
3,1,4.1,292.9,18.5,
3,2,4.2,292.9,18.5,
3,3,3.1,292.9,18.5,
3,4,3.25,292.9,18.5,
3,5,3.4,292.9,18.5,
3,6,3.9,292.9,18.5,
3,7,3.35,292.9,18.5,
3,8,3.2,292.9,18.5,
3,9,3.15,292.9,18.5,
3,10,2.2,292.9,18.5,
3,11,1.9,292.9,18.5,
3,12,3.35,292.9,18.5,
3,13,4.25,292.9,18.5,
3,14,4.85,292.9,18.5,
3,15,4.825,292.9,18.5,
3,16,5.225,292.9,18.5,
3,17,5.575,292.9,18.5,
3,18,5.177,292.9,18.5,
3,19,4.9,292.9,18.5,
3,20,5.3,292.9,18.5,
3,21,4.85,292.9,18.5,
3,22,4.825,292.9,18.5,
3,23,4.5,292.9,18.5,
3,24,3.65,292.9,18.5,
4,1,5.05,292.9,18.5,
4,2,5.5,292.9,18.5,
4,3,2.9,292.9,18.5,
4,4,4.05,292.9,18.5,
4,5,3.0,292.9,18.5,
4,6,3.0,292.9,18.5,
4,7,3.0,292.9,18.5,
4,8,3.1,292.9,18.5,
4,9,3.6,292.9,18.5,
4,10,3.95,292.9,18.5,
4,11,2.0,292.9,18.5,
4,12,3.25,292.9,18.5,
4,13,4.45,292.9,18.5,
4,14,4.65,292.9,18.5,
4,15,4.55,292.9,18.5,
4,16,5.1,292.9,18.5,
4,17,5.475,292.9,18.5,
4,18,5.1,292.9,18.5,
4,19,5.5,292.9,18.5,
4,20,4.875,292.9,18.5,
4,21,5.25,292.9,18.5,
4,22,6.9,292.9,18.5,
4,23,6.2,292.9,18.5,
4,24,5.2,292.9,18.5,
5,1,3.6,292.9,18.5,
5,2,3.0,292.9,18.5,
5,3,2.85,292.9,18.5,
5,4,3.65,292.9,18.5,
5,5,3.3,292.9,18.5,
5,6,3.4,292.9,18.5,
5,7,3.45,292.9,18.5,
5,8,3.35,292.9,18.5,
5,9,3.05,292.9,18.5,
5,10,3.45,292.9,18.5,
5,11,2.35,292.9,18.5,
5,12,3.4,292.9,18.5,
5,13,5.05,292.9,18.5,
5,14,5.512,292.9,18.5,
5,15,4.775,292.9,18.5,
5,16,5.35,292.9,18.5,
5,17,4.85,292.9,18.5,
5,18,5.15,292.9,18.5,
5,19,5.25,292.9,18.5,
5,20,5.45,292.9,18.5,
5,21,5.6,292.9,18.5,
5,22,5.9,292.9,18.5,
5,23,4.0,292.9,18.5,
5,24,3.45,292.9,18.5,
6,1,3.5,292.9,18.5,
6,2,4.0,292.9,18.5,
6,3,3.75,292.9,18.5,
6,4,3.9,292.9,18.5,
6,5,3.3,292.9,18.5,
6,6,3.45,292.9,18.5,
6,7,3.7,292.9,18.5,
6,8,3.7,292.9,18.5,
6,9,3.15,292.9,18.5,
6,10,2.9,292.9,18.5,
6,11,3.0,292.9,18.5,
6,12,4.15,292.9,18.5,
6,13,4.65,292.9,18.5,
6,14,4.625,292.9,18.5,
6,15,4.875,292.9,18.5,
6,16,5.825,292.9,18.5,
6,17,7.012,292.9,18.5,
6,18,6.625,292.9,18.5,
6,19,5.475,292.9,18.5,
6,20,4.775,292.9,18.5,
6,21,5.525,292.9,18.5,
6,22,5.45,292.9,18.5,
6,23,5.1,292.9,18.5,
6,24,4.35,292.9,18.5,
7,1,4.05,292.9,18.5,
7,2,4.3,292.9,18.5,
7,3,2.75,292.9,18.5,
7,4,2.55,292.9,18.5,
7,5,2.9,292.9,18.5,
7,6,3.0,292.9,18.5,
7,7,3.15,292.9,18.5,
7,8,3.0,292.9,18.5,
7,9,3.95,292.9,18.5,
7,10,4.1,292.9,18.5,
7,11,2.0,292.9,18.5,
7,12,3.55,292.9,18.5,
7,13,4.9,292.9,18.5,
7,14,4.963,292.9,18.5,
7,15,4.875,292.9,18.5,
7,16,4.975,292.9,18.5,
7,17,5.5,292.9,18.5,
7,18,5.5,292.9,18.5,
7,19,4.925,292.9,18.5,
7,20,5.25,292.9,18.5,
7,21,6.1,292.9,18.5,
7,22,6.65,292.9,18.5,
7,23,4.25,292.9,18.5,
7,24,3.7,292.9,18.5,
8,1,3.15,292.9,18.5,
8,2,6.65,292.9,18.5,
8,3,3.0,292.9,18.5,
8,4,3.1,292.9,18.5,
8,5,3.2,292.9,18.5,
8,6,2.95,292.9,18.5,
8,7,3.1,292.9,18.5,
8,8,3.25,292.9,18.5,
8,9,3.3,292.9,18.5,
8,10,2.3,292.9,18.5,
8,11,2.0,292.9,18.5,
8,12,3.75,292.9,18.5,
8,13,5.2,292.9,18.5,
8,14,6.2,292.9,18.5,
8,15,4.963,292.9,18.5,
8,16,4.906,292.9,18.5,
8,17,5.625,292.9,18.5,
8,18,5.55,292.9,18.5,
8,19,5.113,292.9,18.5,
8,20,5.463,292.9,18.5,
8,21,5.35,292.9,18.5,
8,22,6.25,292.9,18.5,
8,23,4.35,292.9,18.5,
8,24,3.3,292.9,18.5,
9,1,3.3,292.9,18.5,
9,2,3.2,292.9,18.5,
9,3,3.3,292.9,18.5,
9,4,3.25,292.9,18.5,
9,5,3.15,292.9,18.5,
9,6,3.15,292.9,18.5,
9,7,3.05,292.9,18.5,
9,8,2.9,292.9,18.5,
9,9,2.45,292.9,18.5,
9,10,2.05,292.9,18.5,
9,11,2.45,292.9,18.5,
9,12,3.15,292.9,18.5,
9,13,4.9,292.9,18.5,
9,14,5.425,292.9,18.5,
9,15,4.575,292.9,18.5,
9,16,4.3,292.9,18.5,
9,17,4.9,292.9,18.5,
9,18,6.25,292.9,18.5,
9,19,4.913,292.9,18.5,
9,20,5.15,292.9,18.5,
9,21,4.9,292.9,18.5,
9,22,4.85,292.9,18.5,
9,23,6.55,292.9,18.5,
9,24,4.95,292.9,18.5,
10,1,3.4,292.9,18.5,
10,2,3.05,292.9,18.5,
