DayOfYear,Hour,foF2,Longitude,Latitude,F10.7
1,1,5.9,315.0,-22.7,69.5
1,2,5.15,315.0,-22.7,69.5
1,3,4.45,315.0,-22.7,69.5
1,4,4.9,315.0,-22.7,69.5
1,5,3.85,315.0,-22.7,69.5
1,6,3.25,315.0,-22.7,69.5
1,7,2.9,315.0,-22.7,69.5
1,8,2.9,315.0,-22.7,69.5
1,9,2.5,315.0,-22.7,69.5
1,10,3.694,315.0,-22.7,69.5
1,11,4.401,315.0,-22.7,69.5
1,12,5.075,315.0,-22.7,69.5
1,13,4.85,315.0,-22.7,69.5
1,14,5.65,315.0,-22.7,69.5
1,15,6.75,315.0,-22.7,69.5
1,16,7.75,315.0,-22.7,69.5
1,17,8.725,315.0,-22.7,69.5
1,18,8.925,315.0,-22.7,69.5
1,19,9.2,315.0,-22.7,69.5
1,20,9.325,315.0,-22.7,69.5
1,21,7.925,315.0,-22.7,69.5
1,22,7.225,315.0,-22.7,69.5
1,23,7.35,315.0,-22.7,69.5
1,24,7.65,315.0,-22.7,69.5
2,1,7.8,315.0,-22.7,72.7
2,2,4.7,315.0,-22.7,72.7
2,3,3.85,315.0,-22.7,72.7
2,4,2.95,315.0,-22.7,72.7
2,5,3.15,315.0,-22.7,72.7
2,6,3.2,315.0,-22.7,72.7
2,7,2.55,315.0,-22.7,72.7
2,8,2.1,315.0,-22.7,72.7
2,9,2.05,315.0,-22.7,72.7
2,10,3.55,315.0,-22.7,72.7
2,11,4.2,315.0,-22.7,72.7
2,12,4.457,315.0,-22.7,72.7
2,13,4.425,315.0,-22.7,72.7
2,14,5.25,315.0,-22.7,72.7
2,15,6.05,315.0,-22.7,72.7
2,16,7.2,315.0,-22.7,72.7
2,17,8.3,315.0,-22.7,72.7
2,18,8.95,315.0,-22.7,72.7
2,19,9.8,315.0,-22.7,72.7
2,20,10.525,315.0,-22.7,72.7
2,21,5.775,315.0,-22.7,72.7
2,23,4.95,315.0,-22.7,72.7
2,24,4.75,315.0,-22.7,72.7
3,1,4.7,315.0,-22.7,70.2
3,2,3.5,315.0,-22.7,70.2
3,3,2.75,315.0,-22.7,70.2
3,4,2.8,315.0,-22.7,70.2
3,5,2.9,315.0,-22.7,70.2
3,6,2.9,315.0,-22.7,70.2
3,8,2.0,315.0,-22.7,70.2
3,9,2.6,315.0,-22.7,70.2
3,10,3.875,315.0,-22.7,70.2
3,11,4.475,315.0,-22.7,70.2
3,12,3.9,315.0,-22.7,70.2
3,13,4.601,315.0,-22.7,70.2
3,14,5.05,315.0,-22.7,70.2
3,15,5.45,315.0,-22.7,70.2
3,16,6.6,315.0,-22.7,70.2
3,17,7.7,315.0,-22.7,70.2
3,18,8.075,315.0,-22.7,70.2
3,19,8.575,315.0,-22.7,70.2
3,20,8.9,315.0,-22.7,70.2
3,21,8.625,315.0,-22.7,70.2
3,22,8.475,315.0,-22.7,70.2
3,23,7.3,315.0,-22.7,70.2
3,24,5.85,315.0,-22.7,70.2
4,1,5.65,315.0,-22.7,69.1
4,2,4.8,315.0,-22.7,69.1
4,3,5.15,315.0,-22.7,69.1
4,4,4.4,315.0,-22.7,69.1
4,5,4.15,315.0,-22.7,69.1
4,6,3.0,315.0,-22.7,69.1
4,7,2.75,315.0,-22.7,69.1
4,8,2.65,315.0,-22.7,69.1
4,9,2.65,315.0,-22.7,69.1
4,10,3.7,315.0,-22.7,69.1
4,11,3.85,315.0,-22.7,69.1
4,12,3.925,315.0,-22.7,69.1
4,13,4.1,315.0,-22.7,69.1
4,14,4.95,315.0,-22.7,69.1
4,15,5.5,315.0,-22.7,69.1
4,16,7.05,315.0,-22.7,69.1
4,17,8.2,315.0,-22.7,69.1
4,18,9.0,315.0,-22.7,69.1
4,19,9.45,315.0,-22.7,69.1
4,20,9.5,315.0,-22.7,69.1
4,21,8.375,315.0,-22.7,69.1
4,22,7.925,315.0,-22.7,69.1
4,23,8.6,315.0,-22.7,69.1
4,24,7.9,315.0,-22.7,69.1
5,1,5.7,315.0,-22.7,68.8
5,2,4.95,315.0,-22.7,68.8
5,3,4.75,315.0,-22.7,68.8
5,4,4.2,315.0,-22.7,68.8
5,5,3.85,315.0,-22.7,68.8
5,6,4.0,315.0,-22.7,68.8
5,7,3.85,315.0,-22.7,68.8
5,8,3.45,315.0,-22.7,68.8
5,9,3.0,315.0,-22.7,68.8
5,10,5.863,315.0,-22.7,68.8
5,11,4.25,315.0,-22.7,68.8
5,12,3.9,315.0,-22.7,68.8
5,13,4.85,315.0,-22.7,68.8
5,14,5.225,315.0,-22.7,68.8
5,15,3.8,315.0,-22.7,68.8
5,16,7.4,315.0,-22.7,68.8
5,17,8.475,315.0,-22.7,68.8
5,18,8.325,315.0,-22.7,68.8
5,19,8.625,315.0,-22.7,68.8
5,20,9.275,315.0,-22.7,68.8
5,21,8.801,315.0,-22.7,68.8
5,22,6.65,315.0,-22.7,68.8
5,23,5.7,315.0,-22.7,68.8
5,24,5.75,315.0,-22.7,68.8
6,1,3.75,315.0,-22.7,69.6
6,2,3.3,315.0,-22.7,69.6
6,3,3.6,315.0,-22.7,69.6
6,4,3.55,315.0,-22.7,69.6
6,5,3.55,315.0,-22.7,69.6
6,6,3.5,315.0,-22.7,69.6
6,7,3.3,315.0,-22.7,69.6
6,8,3.05,315.0,-22.7,69.6
6,9,2.95,315.0,-22.7,69.6
6,10,4.613,315.0,-22.7,69.6
6,11,4.557,315.0,-22.7,69.6
6,12,4.663,315.0,-22.7,69.6
6,13,5.1,315.0,-22.7,69.6
6,14,5.25,315.0,-22.7,69.6
6,15,6.35,315.0,-22.7,69.6
6,16,7.725,315.0,-22.7,69.6
6,17,7.95,315.0,-22.7,69.6
6,18,8.75,315.0,-22.7,69.6
6,19,10.925,315.0,-22.7,69.6
6,20,10.55,315.0,-22.7,69.6
6,21,5.3,315.0,-22.7,69.6
6,22,4.175,315.0,-22.7,69.6
6,23,4.15,315.0,-22.7,69.6
6,24,5.0,315.0,-22.7,69.6
7,1,5.75,315.0,-22.7,69.1
7,2,5.6,315.0,-22.7,69.1
7,3,4.95,315.0,-22.7,69.1
7,4,4.35,315.0,-22.7,69.1
7,5,4.7,315.0,-22.7,69.1
7,6,2.75,315.0,-22.7,69.1
7,7,2.7,315.0,-22.7,69.1
7,8,2.5,315.0,-22.7,69.1
7,9,2.7,315.0,-22.7,69.1
7,10,4.075,315.0,-22.7,69.1
7,11,4.6,315.0,-22.7,69.1
7,12,4.05,315.0,-22.7,69.1
7,13,5.012,315.0,-22.7,69.1
7,14,6.075,315.0,-22.7,69.1
7,15,6.725,315.0,-22.7,69.1
7,16,6.5,315.0,-22.7,69.1
7,17,6.15,315.0,-22.7,69.1
7,18,6.6,315.0,-22.7,69.1
7,19,7.6,315.0,-22.7,69.1
7,20,9.55,315.0,-22.7,69.1
7,21,9.063,315.0,-22.7,69.1
7,22,5.85,315.0,-22.7,69.1
7,23,5.35,315.0,-22.7,69.1
7,24,5.8,315.0,-22.7,69.1
8,1,4.55,315.0,-22.7,69.0
8,2,3.45,315.0,-22.7,69.0
8,3,3.5,315.0,-22.7,69.0
8,4,3.55,315.0,-22.7,69.0
8,5,3.75,315.0,-22.7,69.0
8,6,3.9,315.0,-22.7,69.0
8,7,3.75,315.0,-22.7,69.0
8,8,2.9,315.0,-22.7,69.0
8,9,2.2,315.0,-22.7,69.0
8,10,3.8,315.0,-22.7,69.0
8,11,5.125,315.0,-22.7,69.0
8,12,4.85,315.0,-22.7,69.0
8,13,4.1,315.0,-22.7,69.0
8,14,4.225,315.0,-22.7,69.0
8,15,5.175,315.0,-22.7,69.0
8,16,6.4,315.0,-22.7,69.0
8,17,6.9,315.0,-22.7,69.0
8,18,7.45,315.0,-22.7,69.0
8,19,8.0,315.0,-22.7,69.0
8,20,9.4,315.0,-22.7,69.0
8,21,10.55,315.0,-22.7,69.0
8,22,6.975,315.0,-22.7,69.0
8,23,5.65,315.0,-22.7,69.0
8,24,5.55,315.0,-22.7,69.0
9,1,3.45,315.0,-22.7,69.2
9,2,2.85,315.0,-22.7,69.2
9,3,2.55,315.0,-22.7,69.2
9,4,2.45,315.0,-22.7,69.2
9,5,2.65,315.0,-22.7,69.2
