DayOfYear,Hour,foF2,Longitude,Latitude,F10.7
1,1,7.0,283.2,-12.0,69.5
1,2,5.7,283.2,-12.0,69.5
1,3,4.0,283.2,-12.0,69.5
1,4,3.9,283.2,-12.0,69.5
1,5,3.0,283.2,-12.0,69.5
1,6,3.3,283.2,-12.0,69.5
1,12,3.8,283.2,-12.0,69.5
1,13,5.407,283.2,-12.0,69.5
1,14,6.25,283.2,-12.0,69.5
1,15,6.15,283.2,-12.0,69.5
1,16,5.75,283.2,-12.0,69.5
1,19,6.425,283.2,-12.0,69.5
1,20,7.004,283.2,-12.0,69.5
1,21,7.425,283.2,-12.0,69.5
1,22,6.95,283.2,-12.0,69.5
1,23,6.825,283.2,-12.0,69.5
1,24,6.1,283.2,-12.0,69.5
2,1,5.6,283.2,-12.0,72.7
2,2,4.8,283.2,-12.0,72.7
2,3,4.2,283.2,-12.0,72.7
2,4,4.1,283.2,-12.0,72.7
2,5,4.6,283.2,-12.0,72.7
2,6,4.6,283.2,-12.0,72.7
2,11,2.5,283.2,-12.0,72.7
2,12,3.6,283.2,-12.0,72.7
2,13,5.213,283.2,-12.0,72.7
2,14,6.413,283.2,-12.0,72.7
2,15,5.55,283.2,-12.0,72.7
2,16,5.55,283.2,-12.0,72.7
2,17,5.7,283.2,-12.0,72.7
2,18,5.55,283.2,-12.0,72.7
2,19,5.85,283.2,-12.0,72.7
2,20,6.1,283.2,-12.0,72.7
2,21,6.8,283.2,-12.0,72.7
2,22,6.75,283.2,-12.0,72.7
2,23,6.925,283.2,-12.0,72.7
2,24,5.75,283.2,-12.0,72.7
3,1,5.9,283.2,-12.0,70.2
3,2,5.2,283.2,-12.0,70.2
3,3,5.0,283.2,-12.0,70.2
3,4,4.8,283.2,-12.0,70.2
3,5,7.2,283.2,-12.0,70.2
3,6,5.8,283.2,-12.0,70.2
3,7,4.2,283.2,-12.0,70.2
3,8,3.8,283.2,-12.0,70.2
3,9,2.8,283.2,-12.0,70.2
3,11,2.8,283.2,-12.0,70.2
3,12,3.5,283.2,-12.0,70.2
3,13,4.925,283.2,-12.0,70.2
3,14,5.507,283.2,-12.0,70.2
3,15,6.55,283.2,-12.0,70.2
3,16,5.713,283.2,-12.0,70.2
3,17,6.013,283.2,-12.0,70.2
3,18,5.55,283.2,-12.0,70.2
3,19,6.05,283.2,-12.0,70.2
3,20,6.45,283.2,-12.0,70.2
3,21,7.0,283.2,-12.0,70.2
3,22,7.05,283.2,-12.0,70.2
3,23,6.95,283.2,-12.0,70.2
3,24,6.85,283.2,-12.0,70.2
4,1,6.9,283.2,-12.0,69.1
4,2,6.1,283.2,-12.0,69.1
4,3,5.5,283.2,-12.0,69.1
4,4,3.5,283.2,-12.0,69.1
4,5,4.8,283.2,-12.0,69.1
4,6,5.3,283.2,-12.0,69.1
4,7,4.5,283.2,-12.0,69.1
4,8,4.1,283.2,-12.0,69.1
4,9,3.0,283.2,-12.0,69.1
4,11,3.4,283.2,-12.0,69.1
4,12,3.5,283.2,-12.0,69.1
4,13,5.35,283.2,-12.0,69.1
4,14,6.013,283.2,-12.0,69.1
