DayOfYear,Hour,foF2,Longitude,Latitude,F10.7
1,1,2.85,292.9,18.5,69.5
1,2,2.3,292.9,18.5,69.5
1,3,2.75,292.9,18.5,69.5
1,4,2.85,292.9,18.5,69.5
1,5,3.15,292.9,18.5,69.5
1,6,5.65,292.9,18.5,69.5
1,7,2.9,292.9,18.5,69.5
1,8,3.4,292.9,18.5,69.5
1,9,2.15,292.9,18.5,69.5
1,10,2.2,292.9,18.5,69.5
1,11,2.55,292.9,18.5,69.5
1,12,4.0,292.9,18.5,69.5
1,13,4.6,292.9,18.5,69.5
1,14,5.425,292.9,18.5,69.5
1,15,4.6,292.9,18.5,69.5
1,16,5.25,292.9,18.5,69.5
1,17,5.4,292.9,18.5,69.5
1,18,5.45,292.9,18.5,69.5
1,19,5.15,292.9,18.5,69.5
1,20,5.6,292.9,18.5,69.5
1,21,7.3,292.9,18.5,69.5
1,22,4.9,292.9,18.5,69.5
1,23,3.65,292.9,18.5,69.5
1,24,3.2,292.9,18.5,69.5
2,1,2.55,292.9,18.5,72.7
2,2,3.35,292.9,18.5,72.7
2,3,3.55,292.9,18.5,72.7
2,4,3.55,292.9,18.5,72.7
2,5,4.15,292.9,18.5,72.7
2,6,3.05,292.9,18.5,72.7
2,7,3.05,292.9,18.5,72.7
2,8,3.05,292.9,18.5,72.7
2,9,3.0,292.9,18.5,72.7
2,10,2.4,292.9,18.5,72.7
2,11,3.1,292.9,18.5,72.7
2,12,3.8,292.9,18.5,72.7
2,13,4.9,292.9,18.5,72.7
2,14,4.925,292.9,18.5,72.7
2,15,4.85,292.9,18.5,72.7
2,16,5.925,292.9,18.5,72.7
2,17,5.475,292.9,18.5,72.7
2,18,5.8,292.9,18.5,72.7
2,19,5.75,292.9,18.5,72.7
2,20,4.906,292.9,18.5,72.7
2,21,5.6,292.9,18.5,72.7
2,22,4.45,292.9,18.5,72.7
2,23,4.15,292.9,18.5,72.7
2,24,2.9,292.9,18.5,72.7
3,1,4.1,292.9,18.5,70.2
3,2,4.2,292.9,18.5,70.2
3,3,3.1,292.9,18.5,70.2
3,4,3.25,292.9,18.5,70.2
3,5,3.4,292.9,18.5,70.2
3,6,3.9,292.9,18.5,70.2
3,7,3.35,292.9,18.5,70.2
3,8,3.2,292.9,18.5,70.2
3,9,3.15,292.9,18.5,70.2
3,10,2.2,292.9,18.5,70.2
3,11,1.9,292.9,18.5,70.2
3,12,3.35,292.9,18.5,70.2
3,13,4.25,292.9,18.5,70.2
3,14,4.85,292.9,18.5,70.2
3,15,4.825,292.9,18.5,70.2
3,16,5.225,292.9,18.5,70.2
3,17,5.575,292.9,18.5,70.2
3,18,5.177,292.9,18.5,70.2
3,19,4.9,292.9,18.5,70.2
3,20,5.3,292.9,18.5,70.2
3,21,4.85,292.9,18.5,70.2
3,22,4.825,292.9,18.5,70.2
3,23,4.5,292.9,18.5,70.2
3,24,3.65,292.9,18.5,70.2
4,1,5.05,292.9,18.5,69.1
4,2,5.5,292.9,18.5,69.1
4,3,2.9,292.9,18.5,69.1
4,4,4.05,292.9,18.5,69.1
4,5,3.0,292.9,18.5,69.1
4,6,3.0,292.9,18.5,69.1
4,7,3.0,292.9,18.5,69.1
4,8,3.1,292.9,18.5,69.1
4,9,3.6,292.9,18.5,69.1
4,10,3.95,292.9,18.5,69.1
4,11,2.0,292.9,18.5,69.1
4,12,3.25,292.9,18.5,69.1
4,13,4.45,292.9,18.5,69.1
4,14,4.65,292.9,18.5,69.1
4,15,4.55,292.9,18.5,69.1
4,16,5.1,292.9,18.5,69.1
