# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2025-10-17T11:38:40.824Z
#
# Location: GEO -22.7N 315.0E, URSI-Code CAJ2M CACHOEIRA PAULISTA
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2019-01-01T00:00:00.000Z - 2019-12-29T23:59:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2 [MHz] - F2 layer critical frequency
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of CAJ2M data provider
#
#Time                     CS   foF2 QD
2019-01-01T00:00:00.000Z 100  5.900 //
2019-01-01T00:10:00.000Z  65  5.150 //
2019-01-01T00:20:00.000Z  80  5.800 //
2019-01-01T00:30:00.000Z  80  5.500 //
2019-01-01T00:40:00.000Z  65  5.550 //
2019-01-01T00:50:00.000Z  70  5.650 //
2019-01-01T01:00:00.000Z   0  5.150 //
2019-01-01T01:10:00.000Z  50  5.000 //
2019-01-01T01:20:00.000Z  70  4.950 //
2019-01-01T01:30:00.000Z  70  4.800 //
2019-01-01T01:40:00.000Z  70  4.950 //
2019-01-01T01:50:00.000Z  70  4.850 //
2019-01-01T02:00:00.000Z  70  4.450 //
2019-01-01T02:10:00.000Z  70  4.450 //
2019-01-01T02:20:00.000Z  70  4.300 //
2019-01-01T02:30:00.000Z  45  4.100 //
2019-01-01T02:40:00.000Z  70  4.650 //
2019-01-01T02:50:00.000Z  20  5.050 //
2019-01-01T03:00:00.000Z  60  4.900 //
2019-01-01T03:10:00.000Z  70  5.400 //
2019-01-01T03:20:00.000Z  70  5.150 //
2019-01-01T03:40:00.000Z  40  4.650 //
2019-01-01T03:50:00.000Z  70  3.950 //
2019-01-01T04:00:00.000Z  70  3.850 //
2019-01-01T04:10:00.000Z  70  3.550 //
2019-01-01T04:20:00.000Z  70  3.600 //
2019-01-01T04:30:00.000Z  70  3.550 //
2019-01-01T04:40:00.000Z  70  3.450 //
2019-01-01T04:50:00.000Z  70  3.450 //
2019-01-01T05:00:00.000Z  70  3.250 //
