# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2025-10-17T12:00:24.869Z
#
# Location: GEO 30.5N 273.5E, URSI-Code EG931 EGLIN AFB
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2019-12-30T00:00:00.000Z - 2019-12-31T23:59:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2 [MHz] - F2 layer critical frequency
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of EG931 data provider
#
#Time                     CS   foF2 QD
2019-12-30T00:00:00.000Z  45  2.350 //
2019-12-30T01:15:00.000Z  70  2.550 //
2019-12-30T01:30:00.000Z  60  2.750 //
2019-12-30T01:45:00.000Z  70  2.875 //
2019-12-30T02:00:00.000Z  70  3.100 //
2019-12-30T02:15:00.000Z  70  2.975 //
2019-12-30T02:30:00.000Z  70  2.950 //
2019-12-30T02:45:00.000Z  70  3.050 //
2019-12-30T03:00:00.000Z  70  3.350 //
2019-12-30T03:15:00.000Z  70  3.050 //
2019-12-30T03:30:00.000Z   0  3.275 //
2019-12-30T03:45:00.000Z  70  3.375 //
2019-12-30T04:00:00.000Z  40  3.525 //
2019-12-30T04:15:00.000Z  70  3.500 //
2019-12-30T04:30:00.000Z  70  3.425 //
2019-12-30T04:45:00.000Z  50  3.200 //
2019-12-30T05:00:00.000Z  70  3.475 //
2019-12-30T05:15:00.000Z  70  3.375 //
2019-12-30T05:30:00.000Z  70  3.050 //
2019-12-30T05:45:00.000Z  60  3.075 //
2019-12-30T06:00:00.000Z  70  3.300 //
2019-12-30T06:15:00.000Z  70  3.800 //
2019-12-30T06:30:00.000Z  70  3.550 //
2019-12-30T06:45:00.000Z  70  3.775 //
2019-12-30T07:00:00.000Z  60  4.325 //
2019-12-30T07:15:00.000Z  60  4.175 //
2019-12-30T07:30:00.000Z  70  4.375 //
2019-12-30T07:45:00.000Z  70  4.375 //
