# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2025-10-17T11:58:22.290Z
#
# Location: GEO -12.0N 283.2E, URSI-Code JI91J JICAMARCA
# Instrument: Ionosonde, Model: DPS-4
#
# Query for measurement intervals of time:
# 2019-12-30T00:00:00.000Z - 2019-12-31T23:59:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2 [MHz] - F2 layer critical frequency
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of JI91J data provider
#
#Time                     CS   foF2 QD
2019-12-30T00:30:00.000Z 100  6.700 //
2019-12-30T00:45:00.000Z 100  6.900 //
2019-12-30T01:00:00.000Z 100  6.500 //
2019-12-30T01:15:00.000Z 100  6.500 //
2019-12-30T01:30:00.000Z 100  6.800 //
2019-12-30T01:45:00.000Z 100  6.600 //
2019-12-30T02:00:00.000Z 100  6.300 //
2019-12-30T02:15:00.000Z 100  6.000 //
2019-12-30T02:30:00.000Z 100  6.000 //
2019-12-30T02:45:00.000Z 100  5.300 //
2019-12-30T03:00:00.000Z 100  4.400 //
2019-12-30T03:15:00.000Z 100  4.300 //
2019-12-30T03:30:00.000Z 100  3.900 //
2019-12-30T03:45:00.000Z 100  3.800 //
2019-12-30T04:00:00.000Z 100  3.600 //
2019-12-30T04:30:00.000Z 100  3.700 //
2019-12-30T11:00:00.000Z 100  3.600 //
2019-12-30T11:15:00.000Z 100  4.250 //
2019-12-30T11:30:00.000Z 100  4.550 //
2019-12-30T11:45:00.000Z 100  4.950 //
2019-12-30T12:00:00.000Z 100  5.300 //
2019-12-30T12:30:00.000Z 100  5.700 //
2019-12-30T12:45:00.000Z  70  5.904 //
2019-12-30T13:45:00.000Z 100  6.250 //
2019-12-30T14:00:00.000Z  70  6.150 //
2019-12-30T14:15:00.000Z  70  6.750 //
2019-12-30T14:30:00.000Z   0  5.900 //
2019-12-30T14:45:00.000Z  70  6.550 //
2019-12-30T17:15:00.000Z 100  6.900 //
2019-12-30T17:45:00.000Z  70  6.900 //
2019-12-30T18:30:00.000Z 100  6.500 //
2019-12-30T18:45:00.000Z  70  6.800 //
2019-12-30T19:00:00.000Z 100  6.700 //
2019-12-30T19:15:00.000Z   0  6.600 //
2019-12-30T19:30:00.000Z 100  6.800 //
2019-12-30T19:45:00.000Z 100  7.100 //
2019-12-30T20:00:00.000Z 100  7.225 //
2019-12-30T20:15:00.000Z   0  7.300 //
2019-12-30T20:30:00.000Z 100  7.807 //
2019-12-30T20:45:00.000Z  70  7.502 //
2019-12-30T21:00:00.000Z 100  7.907 //
2019-12-30T21:15:00.000Z 100  7.650 //
2019-12-30T21:30:00.000Z   0  8.100 //
2019-12-30T21:45:00.000Z 100  8.000 //
2019-12-30T22:00:00.000Z  70  7.907 //
2019-12-30T22:15:00.000Z 100  8.000 //
2019-12-30T22:30:00.000Z 100  8.000 //
2019-12-30T22:45:00.000Z  70  7.200 //
2019-12-30T23:00:00.000Z 100  7.600 //
2019-12-30T23:15:00.000Z 100  7.700 //
2019-12-30T23:30:00.000Z  70  7.700 //
2019-12-30T23:45:00.000Z 100  7.700 //
2019-12-31T00:00:00.000Z 100  7.700 //
2019-12-31T00:15:00.000Z 100  7.200 //
2019-12-31T00:30:00.000Z 100  7.000 //
2019-12-31T00:45:00.000Z 100  6.900 //
2019-12-31T01:00:00.000Z 100  6.000 //
2019-12-31T01:30:00.000Z 100  7.700 //
2019-12-31T02:15:00.000Z 100  4.300 //
2019-12-31T02:45:00.000Z 100  4.100 //
2019-12-31T03:30:00.000Z 100  3.400 //
2019-12-31T04:00:00.000Z 100  3.900 //
2019-12-31T04:15:00.000Z 100  4.700 //
2019-12-31T04:30:00.000Z 100  4.800 //
2019-12-31T04:45:00.000Z 100  4.300 //
2019-12-31T05:00:00.000Z 100  4.000 //
2019-12-31T05:15:00.000Z 100  4.000 //
2019-12-31T06:30:00.000Z 100  3.400 //
2019-12-31T10:45:00.000Z  70  3.200 //
2019-12-31T11:00:00.000Z 100  4.000 //
2019-12-31T11:15:00.000Z 100  4.400 //
2019-12-31T11:30:00.000Z  70  4.900 //
2019-12-31T11:45:00.000Z 100  5.113 //
2019-12-31T12:00:00.000Z 100  5.550 //
2019-12-31T12:15:00.000Z 100  5.850 //
2019-12-31T12:30:00.000Z 100  5.950 //
2019-12-31T12:45:00.000Z 100  6.050 //
2019-12-31T13:00:00.000Z 100  6.350 //
2019-12-31T13:15:00.000Z 100  6.350 //
2019-12-31T13:30:00.000Z 100  6.150 //
2019-12-31T15:45:00.000Z 100  5.300 //
2019-12-31T17:00:00.000Z 100  5.500 //
2019-12-31T19:45:00.000Z 100  5.950 //
2019-12-31T20:00:00.000Z   0  6.100 //
2019-12-31T20:15:00.000Z 100  6.600 //
2019-12-31T20:30:00.000Z  70  5.313 //
2019-12-31T20:45:00.000Z 100  6.300 //
2019-12-31T21:00:00.000Z 100  6.650 //
2019-12-31T21:15:00.000Z  70  6.800 //
2019-12-31T21:30:00.000Z  70  6.950 //
2019-12-31T21:45:00.000Z  70  6.900 //
2019-12-31T22:15:00.000Z 100  6.600 //
2019-12-31T22:30:00.000Z  50  5.900 //
2019-12-31T22:45:00.000Z  50  6.500 //
2019-12-31T23:00:00.000Z  50  6.500 //
2019-12-31T23:15:00.000Z  50  6.600 //
2019-12-31T23:30:00.000Z  50  6.700 //
2019-12-31T23:45:00.000Z  50  6.700 //
