# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2025-11-15T13:32:23.000Z
#
# Location: GEO 42.6N 288.5E, URSI-Code MHJ45 MILLSTONE HILL
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2019-12-30T00:00:00.000Z - 2019-12-31T23:59:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2 [MHz] - F2 layer critical frequency
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of MHJ45 data provider
#
#Time                     CS   foF2 QD
2019-12-30T00:00:00.000Z  70  2.575 //
2019-12-30T00:05:00.000Z  20  2.425 //
2019-12-30T00:10:00.000Z  70  2.575 //
2019-12-30T00:15:00.000Z  70  2.700 //
2019-12-30T00:20:00.000Z  70  2.675 //
2019-12-30T00:25:00.000Z   0  2.575 //
2019-12-30T00:30:00.000Z  40  2.350 //
2019-12-30T00:35:00.000Z   0  2.650 //
2019-12-30T00:40:00.000Z  70  2.650 //
2019-12-30T00:45:00.000Z  70  2.550 //
2019-12-30T00:50:00.000Z  70  2.675 //
2019-12-30T00:55:00.000Z  70  2.950 //
2019-12-30T01:00:00.000Z  70  2.750 //
2019-12-30T01:05:00.000Z  70  2.800 //
2019-12-30T01:10:00.000Z  60  2.775 //
2019-12-30T01:15:00.000Z  70  2.750 //
2019-12-30T01:20:00.000Z  70  2.700 //
2019-12-30T01:25:00.000Z  70  2.675 //
2019-12-30T01:30:00.000Z  70  2.675 //
2019-12-30T01:35:00.000Z  70  2.650 //
2019-12-30T01:40:00.000Z  60  2.650 //
2019-12-30T01:45:00.000Z  70  2.325 //
2019-12-30T01:50:00.000Z  70  2.625 //
2019-12-30T01:55:00.000Z   0  2.625 //
2019-12-30T02:00:00.000Z   0  2.450 //
2019-12-30T02:05:00.000Z  70  2.800 //
2019-12-30T02:10:00.000Z  70  2.725 //
2019-12-30T02:15:00.000Z  60  2.375 //
2019-12-30T02:20:00.000Z   0  2.450 //
2019-12-30T02:25:00.000Z  40  2.450 //
2019-12-30T02:30:00.000Z  70  2.575 //
2019-12-30T02:35:00.000Z  70  2.450 //
2019-12-30T02:40:00.000Z  70  2.650 //
2019-12-30T02:45:00.000Z  70  2.700 //
2019-12-30T02:50:00.000Z  70  2.775 //
2019-12-30T02:55:00.000Z  70  2.575 //
2019-12-30T03:00:00.000Z  70  2.700 //
2019-12-30T03:05:00.000Z  40  3.050 //
2019-12-30T03:10:00.000Z  70  2.700 //
2019-12-30T03:15:00.000Z  70  2.700 //
2019-12-30T03:20:00.000Z  70  2.700 //
2019-12-30T03:25:00.000Z  40  2.800 //
2019-12-30T03:30:00.000Z   0  3.475 //
2019-12-30T03:35:00.000Z  40  3.350 //
2019-12-30T03:40:00.000Z  40  2.800 //
2019-12-30T03:45:00.000Z  70  2.925 //
2019-12-30T03:50:00.000Z  60  2.875 //
2019-12-30T03:55:00.000Z  60  3.150 //
2019-12-30T04:00:00.000Z  70  2.925 //
2019-12-30T04:05:00.000Z  40  2.575 //
2019-12-30T04:10:00.000Z  40  3.350 //
2019-12-30T04:15:00.000Z  70  2.700 //
2019-12-30T04:20:00.000Z  60  2.775 //
2019-12-30T04:25:00.000Z  70  2.775 //
2019-12-30T04:30:00.000Z  70  2.975 //
2019-12-30T04:35:00.000Z  40  2.850 //
2019-12-30T04:40:00.000Z  50  3.050 //
2019-12-30T04:45:00.000Z   0  3.600 //
2019-12-30T04:50:00.000Z  70  2.900 //
2019-12-30T04:55:00.000Z  70  3.150 //
2019-12-30T05:00:00.000Z  60  2.600 //
2019-12-30T05:05:00.000Z  40  3.100 //
2019-12-30T05:10:00.000Z  15  2.875 //
2019-12-30T05:15:00.000Z  70  3.475 //
2019-12-30T05:20:00.000Z  60  3.575 //
2019-12-30T05:25:00.000Z  60  3.025 //
2019-12-30T05:30:00.000Z  45  3.050 //
2019-12-30T05:35:00.000Z  40  2.925 //
2019-12-30T05:40:00.000Z  35  3.350 //
2019-12-30T05:45:00.000Z   0  3.500 //
2019-12-30T05:50:00.000Z  45  2.950 //
2019-12-30T05:55:00.000Z  45  2.950 //
2019-12-30T06:00:00.000Z  60  2.850 //
2019-12-30T06:05:00.000Z  40  2.875 //
2019-12-30T06:10:00.000Z  70  3.000 //
2019-12-30T06:15:00.000Z  45  3.025 //
2019-12-30T06:20:00.000Z  60  3.925 //
2019-12-30T06:25:00.000Z  45  2.325 //
2019-12-30T06:30:00.000Z  70  3.050 //
2019-12-30T06:35:00.000Z   0  4.025 //
2019-12-30T06:40:00.000Z  45  3.250 //
2019-12-30T06:45:00.000Z  70  2.950 //
2019-12-30T06:50:00.000Z  40  3.175 //
2019-12-30T06:55:00.000Z  70  3.000 //
2019-12-30T07:00:00.000Z  35  3.675 //
2019-12-30T07:05:00.000Z  20  3.150 //
2019-12-30T07:10:00.000Z  45  3.200 //
2019-12-30T07:15:00.000Z  40  3.475 //
2019-12-30T07:20:00.000Z  40  3.450 //
2019-12-30T07:25:00.000Z  60  4.075 //
2019-12-30T07:30:00.000Z  60  3.325 //
2019-12-30T07:35:00.000Z  40  3.650 //
2019-12-30T07:40:00.000Z  15  3.250 //
2019-12-30T07:45:00.000Z   0  4.225 //
2019-12-30T07:50:00.000Z  45  3.450 //
2019-12-30T07:55:00.000Z  60  3.675 //
2019-12-30T08:00:00.000Z  60  3.825 //
2019-12-30T08:05:00.000Z  70  3.650 //
2019-12-30T08:10:00.000Z  60  3.125 //
2019-12-30T08:15:00.000Z  60  3.525 //
2019-12-30T08:20:00.000Z  35  3.250 //
2019-12-30T08:25:00.000Z  70  3.125 //
2019-12-30T08:30:00.000Z  45  2.900 //
2019-12-30T08:35:00.000Z   0  3.700 //
2019-12-30T08:40:00.000Z   0  3.425 //
2019-12-30T08:45:00.000Z  15  3.050 //
2019-12-30T08:50:00.000Z  15  2.900 //
2019-12-30T08:55:00.000Z   0  3.100 //
2019-12-30T09:00:00.000Z  45  2.725 //
2019-12-30T09:05:00.000Z  15  3.250 //
2019-12-30T09:10:00.000Z  65  3.050 //
2019-12-30T09:15:00.000Z  35  3.025 //
2019-12-30T09:20:00.000Z  45  3.200 //
2019-12-30T09:25:00.000Z  15  2.925 //
2019-12-30T09:30:00.000Z  45  2.775 //
2019-12-30T09:35:00.000Z   0  3.375 //
2019-12-30T09:40:00.000Z  60  2.375 //
2019-12-30T09:45:00.000Z  45  2.675 //
2019-12-30T09:50:00.000Z  70  2.625 //
2019-12-30T09:55:00.000Z  40  2.950 //
2019-12-30T10:00:00.000Z  70  2.700 //
2019-12-30T10:05:00.000Z  60  2.750 //
2019-12-30T10:10:00.000Z  40  2.675 //
2019-12-30T10:15:00.000Z  70  2.925 //
2019-12-30T10:20:00.000Z   0  2.750 //
2019-12-30T10:25:00.000Z   0  2.875 //
2019-12-30T10:30:00.000Z  50  2.725 //
2019-12-30T10:35:00.000Z  20  2.700 //
2019-12-30T10:40:00.000Z   0  3.450 //
2019-12-30T10:45:00.000Z   0  2.900 //
2019-12-30T10:50:00.000Z  70  2.950 //
2019-12-30T10:55:00.000Z  70  3.000 //
2019-12-30T11:00:00.000Z  50  2.450 //
2019-12-30T11:05:00.000Z  70  2.925 //
2019-12-30T11:10:00.000Z  70  2.750 //
2019-12-30T11:15:00.000Z  45  2.625 //
2019-12-30T11:20:00.000Z  65  2.400 //
2019-12-30T11:25:00.000Z  55  2.463 //
2019-12-30T11:30:00.000Z  15  3.075 //
2019-12-30T11:35:00.000Z  20  2.750 //
2019-12-30T11:40:00.000Z  50  2.700 //
