# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2025-10-17T11:59:37.041Z
#
# Location: GEO 18.5N 292.9E, URSI-Code PRJ18 RAMEY
# Instrument: Ionosonde, Model: DGS-256
#
# Query for measurement intervals of time:
# 2019-12-30T00:00:00.000Z - 2019-12-31T23:59:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2 [MHz] - F2 layer critical frequency
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of PRJ18 data provider
#
#Time                     CS   foF2 QD
2019-12-30T00:00:05.000Z 100  3.000 //
2019-12-30T00:05:05.000Z 100  2.850 //
2019-12-30T00:10:05.000Z   0 17.400 //
2019-12-30T00:15:05.000Z 100  2.750 //
2019-12-30T00:20:05.000Z 100  2.650 //
2019-12-30T00:25:05.000Z 100  2.650 //
2019-12-30T00:30:05.000Z 100  2.750 //
2019-12-30T00:35:05.000Z 100  2.450 //
2019-12-30T00:40:05.000Z 100  2.450 //
2019-12-30T00:45:05.000Z 100  2.550 //
2019-12-30T00:50:05.000Z   0 16.950 //
2019-12-30T00:55:05.000Z 100  2.700 //
2019-12-30T01:00:05.000Z 100  2.450 //
2019-12-30T01:05:05.000Z 100  2.500 //
2019-12-30T01:10:05.000Z 100  2.500 //
2019-12-30T01:20:05.000Z 100  2.750 //
2019-12-30T01:25:05.000Z 100  2.700 //
2019-12-30T01:30:05.000Z 100  2.750 //
2019-12-30T01:35:05.000Z   0 17.400 //
2019-12-30T01:40:05.000Z   0 16.150 //
2019-12-30T01:45:05.000Z 100  2.800 //
2019-12-30T01:50:05.000Z 100  2.450 //
2019-12-30T01:55:05.000Z 100  2.850 //
2019-12-30T02:00:05.000Z 100  2.850 //
2019-12-30T02:05:05.000Z 100  2.450 //
2019-12-30T02:10:05.000Z 100  3.450 //
2019-12-30T02:15:05.000Z 100  2.850 //
2019-12-30T02:20:05.000Z 100  2.500 //
2019-12-30T02:25:05.000Z 100  2.450 //
2019-12-30T02:30:05.000Z 100  2.650 //
2019-12-30T02:35:05.000Z 100  2.650 //
2019-12-30T02:40:05.000Z 100  2.850 //
2019-12-30T02:45:05.000Z 100  3.050 //
2019-12-30T02:50:05.000Z 100  2.950 //
2019-12-30T02:55:05.000Z 100  2.700 //
2019-12-30T03:00:05.000Z 100  2.800 //
2019-12-30T03:05:05.000Z 100  2.900 //
2019-12-30T03:10:05.000Z 100  2.900 //
2019-12-30T03:15:05.000Z 100  2.900 //
2019-12-30T03:20:05.000Z 100  2.900 //
2019-12-30T03:25:05.000Z 100  3.000 //
2019-12-30T03:30:05.000Z 100  2.950 //
2019-12-30T03:35:05.000Z 100  3.000 //
2019-12-30T03:40:05.000Z 100  2.900 //
2019-12-30T03:45:05.000Z 100  2.900 //
2019-12-30T03:50:05.000Z 100  2.900 //
2019-12-30T03:55:05.000Z 100  2.900 //
2019-12-30T04:00:05.000Z 100  2.900 //
2019-12-30T04:05:05.000Z 100  2.800 //
2019-12-30T04:10:05.000Z 100  2.850 //
2019-12-30T04:15:05.000Z 100  2.900 //
2019-12-30T04:20:05.000Z 100  2.850 //
2019-12-30T04:25:05.000Z 100  2.900 //
2019-12-30T04:30:05.000Z 100  2.850 //
2019-12-30T04:35:05.000Z 100  2.900 //
2019-12-30T04:40:05.000Z 100  2.800 //
2019-12-30T04:45:05.000Z 100  2.850 //
2019-12-30T04:50:05.000Z 100  2.700 //
2019-12-30T04:55:05.000Z 100  3.000 //
2019-12-30T05:00:05.000Z 100  2.700 //
2019-12-30T05:05:05.000Z 100  2.800 //
2019-12-30T05:10:05.000Z 100  2.650 //
2019-12-30T05:15:05.000Z 100  2.700 //
2019-12-30T05:20:05.000Z 100  2.750 //
2019-12-30T05:25:05.000Z 100  2.500 //
2019-12-30T05:30:05.000Z 100  2.500 //
2019-12-30T05:35:05.000Z 100  2.450 //
2019-12-30T05:40:05.000Z 100  2.450 //
2019-12-30T05:45:05.000Z 100  2.350 //
2019-12-30T05:50:05.000Z 100  2.450 //
2019-12-30T05:55:05.000Z 100  2.450 //
2019-12-30T06:00:05.000Z 100  2.450 //
2019-12-30T06:05:05.000Z 100  2.450 //
2019-12-30T06:10:05.000Z 100  2.450 //
