DayOfYear,Hour,foF2,Longitude,Latitude,F10.7,Station
79,0,2.8,315.0,-22.7,76.2,CP
79,1,2.75,315.0,-22.7,76.2,CP
79,2,3.0,315.0,-22.7,76.2,CP
79,3,3.2,315.0,-22.7,76.2,CP
79,4,2.75,315.0,-22.7,76.2,CP
79,5,3.15,315.0,-22.7,76.2,CP
79,6,3.1,315.0,-22.7,76.2,CP
79,7,1.85,315.0,-22.7,76.2,CP
79,8,3.15,315.0,-22.7,76.2,CP
79,9,4.775,315.0,-22.7,76.2,CP
79,10,5.575,315.0,-22.7,76.2,CP
79,11,5.925,315.0,-22.7,76.2,CP
79,12,8.175,315.0,-22.7,76.2,CP
79,13,7.825,315.0,-22.7,76.2,CP
79,14,8.475,315.0,-22.7,76.2,CP
79,15,8.625,315.0,-22.7,76.2,CP
79,16,9.175,315.0,-22.7,76.2,CP
79,17,9.525,315.0,-22.7,76.2,CP
79,18,10.075,315.0,-22.7,76.2,CP
79,19,9.663,315.0,-22.7,76.2,CP
79,20,8.25,315.0,-22.7,76.2,CP
79,21,6.05,315.0,-22.7,76.2,CP
79,22,3.0,315.0,-22.7,76.2,CP
172,0,2.1,315.0,-22.7,68.6,CP
172,1,1.9,315.0,-22.7,68.6,CP
172,2,2.15,315.0,-22.7,68.6,CP
172,3,2.65,315.0,-22.7,68.6,CP
172,4,2.6,315.0,-22.7,68.6,CP
172,5,1.9,315.0,-22.7,68.6,CP
172,6,3.65,315.0,-22.7,68.6,CP
172,7,4.475,315.0,-22.7,68.6,CP
172,8,4.8,315.0,-22.7,68.6,CP
172,9,5.213,315.0,-22.7,68.6,CP
172,10,5.225,315.0,-22.7,68.6,CP
172,11,5.075,315.0,-22.7,68.6,CP
172,12,4.503,315.0,-22.7,68.6,CP
172,13,5.351,315.0,-22.7,68.6,CP
172,14,4.475,315.0,-22.7,68.6,CP
172,15,5.3,315.0,-22.7,68.6,CP
172,16,4.9,315.0,-22.7,68.6,CP
172,17,2.9,315.0,-22.7,68.6,CP
172,18,2.1,315.0,-22.7,68.6,CP
356,0,5.75,315.0,-22.7,68.7,CP
356,1,4.25,315.0,-22.7,68.7,CP
356,2,4.4,315.0,-22.7,68.7,CP
356,3,5.15,315.0,-22.7,68.7,CP
356,4,4.75,315.0,-22.7,68.7,CP
356,5,4.05,315.0,-22.7,68.7,CP
356,6,3.7,315.0,-22.7,68.7,CP
356,7,3.65,315.0,-22.7,68.7,CP
356,8,2.95,315.0,-22.7,68.7,CP
356,9,3.975,315.0,-22.7,68.7,CP
356,10,4.25,315.0,-22.7,68.7,CP
356,11,4.725,315.0,-22.7,68.7,CP
356,12,5.7,315.0,-22.7,68.7,CP
