DayOfYear,Hour,foF2,Longitude,Latitude,F10.7,Station
1,23,4.45,315.0,-22.7,69.5,CP
1,0,4.9,315.0,-22.7,69.5,CP
1,1,3.85,315.0,-22.7,69.5,CP
1,11,6.75,315.0,-22.7,69.5,CP
1,12,7.75,315.0,-22.7,69.5,CP
1,13,8.725,315.0,-22.7,69.5,CP
2,23,3.85,315.0,-22.7,72.7,CP
2,0,2.95,315.0,-22.7,72.7,CP
2,1,3.15,315.0,-22.7,72.7,CP
2,11,6.05,315.0,-22.7,72.7,CP
2,12,7.2,315.0,-22.7,72.7,CP
2,13,8.3,315.0,-22.7,72.7,CP
3,23,2.75,315.0,-22.7,70.2,CP
3,0,2.8,315.0,-22.7,70.2,CP
3,1,2.9,315.0,-22.7,70.2,CP
3,11,6.6,315.0,-22.7,70.2,CP
3,12,7.7,315.0,-22.7,70.2,CP
3,13,8.075,315.0,-22.7,70.2,CP
4,23,5.15,315.0,-22.7,69.1,CP
4,0,4.4,315.0,-22.7,69.1,CP
4,1,4.15,315.0,-22.7,69.1,CP
4,11,5.5,315.0,-22.7,69.1,CP
4,12,7.05,315.0,-22.7,69.1,CP
4,13,8.2,315.0,-22.7,69.1,CP
5,23,4.75,315.0,-22.7,68.8,CP
5,0,4.2,315.0,-22.7,68.8,CP
5,1,3.85,315.0,-22.7,68.8,CP
5,11,3.8,315.0,-22.7,68.8,CP
5,12,7.4,315.0,-22.7,68.8,CP
5,13,8.475,315.0,-22.7,68.8,CP
6,23,3.6,315.0,-22.7,69.6,CP
6,0,3.55,315.0,-22.7,69.6,CP
6,1,3.55,315.0,-22.7,69.6,CP
6,11,6.35,315.0,-22.7,69.6,CP
6,12,7.725,315.0,-22.7,69.6,CP
6,13,7.95,315.0,-22.7,69.6,CP
7,23,4.95,315.0,-22.7,69.1,CP
7,0,4.35,315.0,-22.7,69.1,CP
7,1,4.7,315.0,-22.7,69.1,CP
7,11,6.725,315.0,-22.7,69.1,CP
7,12,6.5,315.0,-22.7,69.1,CP
7,13,6.15,315.0,-22.7,69.1,CP
8,23,3.5,315.0,-22.7,69.0,CP
8,0,3.55,315.0,-22.7,69.0,CP
8,1,3.75,315.0,-22.7,69.0,CP
8,11,5.175,315.0,-22.7,69.0,CP
8,12,6.4,315.0,-22.7,69.0,CP
8,13,6.9,315.0,-22.7,69.0,CP
9,23,2.55,315.0,-22.7,69.2,CP
9,0,2.45,315.0,-22.7,69.2,CP
9,1,2.65,315.0,-22.7,69.2,CP
9,11,6.2,315.0,-22.7,69.2,CP
9,12,7.55,315.0,-22.7,69.2,CP
9,13,7.75,315.0,-22.7,69.2,CP
10,23,2.6,315.0,-22.7,67.8,CP
10,0,2.8,315.0,-22.7,67.8,CP
10,1,2.75,315.0,-22.7,67.8,CP
10,11,6.75,315.0,-22.7,67.8,CP
10,12,7.75,315.0,-22.7,67.8,CP
10,13,8.6,315.0,-22.7,67.8,CP
11,23,5.45,315.0,-22.7,65.9,CP
11,0,4.85,315.0,-22.7,65.9,CP
11,1,3.7,315.0,-22.7,65.9,CP
11,11,7.025,315.0,-22.7,65.9,CP
11,12,7.4,315.0,-22.7,65.9,CP
11,13,7.45,315.0,-22.7,65.9,CP
12,23,3.5,315.0,-22.7,67.3,CP
12,0,3.3,315.0,-22.7,67.3,CP
12,1,3.15,315.0,-22.7,67.3,CP
12,11,5.4,315.0,-22.7,67.3,CP
12,12,5.95,315.0,-22.7,67.3,CP
12,13,6.825,315.0,-22.7,67.3,CP
13,23,3.0,315.0,-22.7,66.6,CP
13,0,3.25,315.0,-22.7,66.6,CP
13,1,3.15,315.0,-22.7,66.6,CP
13,11,7.55,315.0,-22.7,66.6,CP
13,12,8.35,315.0,-22.7,66.6,CP
13,13,9.0,315.0,-22.7,66.6,CP
14,23,3.35,315.0,-22.7,67.8,CP
14,0,3.4,315.0,-22.7,67.8,CP
14,1,3.2,315.0,-22.7,67.8,CP
14,11,5.701,315.0,-22.7,67.8,CP
14,12,6.1,315.0,-22.7,67.8,CP
14,13,7.1,315.0,-22.7,67.8,CP
15,23,3.75,315.0,-22.7,67.3,CP
15,0,3.0,315.0,-22.7,67.3,CP
15,1,2.65,315.0,-22.7,67.3,CP
15,11,5.4,315.0,-22.7,67.3,CP
15,12,6.1,315.0,-22.7,67.3,CP
15,13,7.75,315.0,-22.7,67.3,CP
16,23,2.8,315.0,-22.7,67.5,CP
16,0,2.65,315.0,-22.7,67.5,CP
16,1,2.8,315.0,-22.7,67.5,CP
16,11,5.05,315.0,-22.7,67.5,CP
16,12,6.05,315.0,-22.7,67.5,CP
16,13,6.925,315.0,-22.7,67.5,CP
17,23,5.0,315.0,-22.7,66.4,CP
17,0,4.75,315.0,-22.7,66.4,CP
17,1,3.85,315.0,-22.7,66.4,CP
17,11,4.8,315.0,-22.7,66.4,CP
17,12,6.125,315.0,-22.7,66.4,CP
17,13,7.6,315.0,-22.7,66.4,CP
18,23,2.15,315.0,-22.7,66.6,CP
18,0,2.25,315.0,-22.7,66.6,CP
18,1,4.2,315.0,-22.7,66.6,CP
18,11,7.85,315.0,-22.7,66.6,CP
18,12,8.85,315.0,-22.7,66.6,CP
18,13,6.8,315.0,-22.7,66.6,CP
19,23,7.5,315.0,-22.7,67.4,CP
19,0,3.5,315.0,-22.7,67.4,CP
19,1,5.4,315.0,-22.7,67.4,CP
19,11,5.45,315.0,-22.7,67.4,CP
19,12,5.85,315.0,-22.7,67.4,CP
19,13,7.7,315.0,-22.7,67.4,CP
20,23,2.4,315.0,-22.7,67.0,CP
20,0,2.1,315.0,-22.7,67.0,CP
20,1,2.35,315.0,-22.7,67.0,CP
20,11,5.7,315.0,-22.7,67.0,CP
20,12,6.275,315.0,-22.7,67.0,CP
20,13,8.2,315.0,-22.7,67.0,CP
21,23,3.95,315.0,-22.7,67.7,CP
21,0,3.45,315.0,-22.7,67.7,CP
21,1,2.95,315.0,-22.7,67.7,CP
21,11,6.775,315.0,-22.7,67.7,CP
21,12,7.675,315.0,-22.7,67.7,CP
21,13,8.425,315.0,-22.7,67.7,CP
25,23,5.35,315.0,-22.7,72.7,CP
25,0,3.8,315.0,-22.7,72.7,CP
26,23,2.75,315.0,-22.7,74.3,CP
26,0,2.65,315.0,-22.7,74.3,CP
26,1,2.75,315.0,-22.7,74.3,CP
26,11,5.65,315.0,-22.7,74.3,CP
26,12,6.65,315.0,-22.7,74.3,CP
26,13,7.5,315.0,-22.7,74.3,CP
27,23,5.6,315.0,-22.7,72.8,CP
27,0,5.3,315.0,-22.7,72.8,CP
27,1,4.6,315.0,-22.7,72.8,CP
27,11,5.15,315.0,-22.7,72.8,CP
27,12,6.275,315.0,-22.7,72.8,CP
27,13,7.35,315.0,-22.7,72.8,CP
28,23,3.1,315.0,-22.7,73.5,CP
