DayOfYear,Hour,foF2,Longitude,Latitude,F10.7,Station
2,0,7.8,315.0,-22.7,72.7,CP
2,1,4.7,315.0,-22.7,72.7,CP
2,2,3.85,315.0,-22.7,72.7,CP
2,3,2.95,315.0,-22.7,72.7,CP
2,4,3.15,315.0,-22.7,72.7,CP
2,5,3.2,315.0,-22.7,72.7,CP
2,6,2.55,315.0,-22.7,72.7,CP
2,7,2.1,315.0,-22.7,72.7,CP
2,8,2.05,315.0,-22.7,72.7,CP
2,9,3.55,315.0,-22.7,72.7,CP
2,10,4.2,315.0,-22.7,72.7,CP
2,11,4.457,315.0,-22.7,72.7,CP
2,12,4.425,315.0,-22.7,72.7,CP
2,13,5.25,315.0,-22.7,72.7,CP
2,14,6.05,315.0,-22.7,72.7,CP
2,15,7.2,315.0,-22.7,72.7,CP
2,16,8.3,315.0,-22.7,72.7,CP
2,17,8.95,315.0,-22.7,72.7,CP
2,18,9.8,315.0,-22.7,72.7,CP
2,19,10.525,315.0,-22.7,72.7,CP
2,20,5.775,315.0,-22.7,72.7,CP
2,21,4.95,315.0,-22.7,72.7,CP
2,22,4.75,315.0,-22.7,72.7,CP
3,0,4.7,315.0,-22.7,70.2,CP
3,1,3.5,315.0,-22.7,70.2,CP
3,2,2.75,315.0,-22.7,70.2,CP
3,3,2.8,315.0,-22.7,70.2,CP
3,4,2.9,315.0,-22.7,70.2,CP
3,5,2.9,315.0,-22.7,70.2,CP
3,6,2.0,315.0,-22.7,70.2,CP
3,7,2.6,315.0,-22.7,70.2,CP
3,8,3.875,315.0,-22.7,70.2,CP
3,9,4.475,315.0,-22.7,70.2,CP
3,10,3.9,315.0,-22.7,70.2,CP
3,11,4.601,315.0,-22.7,70.2,CP
3,12,5.05,315.0,-22.7,70.2,CP
3,13,5.45,315.0,-22.7,70.2,CP
3,14,6.6,315.0,-22.7,70.2,CP
3,15,7.7,315.0,-22.7,70.2,CP
3,16,8.075,315.0,-22.7,70.2,CP
3,17,8.575,315.0,-22.7,70.2,CP
3,18,8.9,315.0,-22.7,70.2,CP
3,19,8.625,315.0,-22.7,70.2,CP
3,20,8.475,315.0,-22.7,70.2,CP
3,21,7.3,315.0,-22.7,70.2,CP
3,22,5.85,315.0,-22.7,70.2,CP
10,0,4.65,315.0,-22.7,67.8,CP
10,1,4.7,315.0,-22.7,67.8,CP
10,2,2.6,315.0,-22.7,67.8,CP
10,3,2.8,315.0,-22.7,67.8,CP
10,4,2.75,315.0,-22.7,67.8,CP
10,5,2.45,315.0,-22.7,67.8,CP
10,6,2.7,315.0,-22.7,67.8,CP
10,7,2.4,315.0,-22.7,67.8,CP
10,8,2.6,315.0,-22.7,67.8,CP
10,9,3.5,315.0,-22.7,67.8,CP
10,10,3.75,315.0,-22.7,67.8,CP
10,11,5.25,315.0,-22.7,67.8,CP
10,12,5.925,315.0,-22.7,67.8,CP
10,13,5.875,315.0,-22.7,67.8,CP
10,14,6.75,315.0,-22.7,67.8,CP
10,15,7.75,315.0,-22.7,67.8,CP
10,16,8.6,315.0,-22.7,67.8,CP
10,17,9.2,315.0,-22.7,67.8,CP
10,18,9.5,315.0,-22.7,67.8,CP
10,19,8.775,315.0,-22.7,67.8,CP
10,20,6.95,315.0,-22.7,67.8,CP
10,21,6.45,315.0,-22.7,67.8,CP
10,22,6.15,315.0,-22.7,67.8,CP
12,0,4.35,315.0,-22.7,67.3,CP
12,1,3.7,315.0,-22.7,67.3,CP
12,2,3.5,315.0,-22.7,67.3,CP
12,3,3.3,315.0,-22.7,67.3,CP
12,4,3.15,315.0,-22.7,67.3,CP
12,5,3.95,315.0,-22.7,67.3,CP
12,6,3.6,315.0,-22.7,67.3,CP
12,7,3.2,315.0,-22.7,67.3,CP
12,8,2.45,315.0,-22.7,67.3,CP
12,9,3.8,315.0,-22.7,67.3,CP
12,10,4.313,315.0,-22.7,67.3,CP
12,11,4.375,315.0,-22.7,67.3,CP
12,12,4.65,315.0,-22.7,67.3,CP
12,13,4.9,315.0,-22.7,67.3,CP
12,14,5.4,315.0,-22.7,67.3,CP
12,15,5.95,315.0,-22.7,67.3,CP
12,16,6.825,315.0,-22.7,67.3,CP
12,17,7.325,315.0,-22.7,67.3,CP
12,18,8.35,315.0,-22.7,67.3,CP
12,19,9.1,315.0,-22.7,67.3,CP
12,20,9.475,315.0,-22.7,67.3,CP
12,21,7.95,315.0,-22.7,67.3,CP
12,22,4.85,315.0,-22.7,67.3,CP
12,23,4.35,315.0,-22.7,67.3,CP
13,0,4.25,315.0,-22.7,66.6,CP
13,1,3.95,315.0,-22.7,66.6,CP
13,2,3.0,315.0,-22.7,66.6,CP
13,3,3.25,315.0,-22.7,66.6,CP
13,4,3.15,315.0,-22.7,66.6,CP
13,5,2.6,315.0,-22.7,66.6,CP
13,6,2.35,315.0,-22.7,66.6,CP
13,7,2.375,315.0,-22.7,66.6,CP
13,8,3.95,315.0,-22.7,66.6,CP
13,9,4.475,315.0,-22.7,66.6,CP
13,10,4.275,315.0,-22.7,66.6,CP
13,11,4.95,315.0,-22.7,66.6,CP
13,12,5.25,315.0,-22.7,66.6,CP
13,13,6.1,315.0,-22.7,66.6,CP
13,14,7.55,315.0,-22.7,66.6,CP
13,15,8.35,315.0,-22.7,66.6,CP
13,16,9.0,315.0,-22.7,66.6,CP
13,17,9.675,315.0,-22.7,66.6,CP
13,18,9.5,315.0,-22.7,66.6,CP
13,19,8.775,315.0,-22.7,66.6,CP
13,20,7.95,315.0,-22.7,66.6,CP
13,21,6.8,315.0,-22.7,66.6,CP
20,0,3.0,315.0,-22.7,67.0,CP
20,1,2.6,315.0,-22.7,67.0,CP
20,2,2.4,315.0,-22.7,67.0,CP
20,3,2.1,315.0,-22.7,67.0,CP
20,4,2.35,315.0,-22.7,67.0,CP
20,5,3.8,315.0,-22.7,67.0,CP
20,6,2.6,315.0,-22.7,67.0,CP
20,7,2.5,315.0,-22.7,67.0,CP
20,8,2.25,315.0,-22.7,67.0,CP
20,9,3.75,315.0,-22.7,67.0,CP
20,10,4.15,315.0,-22.7,67.0,CP
20,11,4.4,315.0,-22.7,67.0,CP
20,12,4.825,315.0,-22.7,67.0,CP
20,13,4.775,315.0,-22.7,67.0,CP
20,14,5.7,315.0,-22.7,67.0,CP
20,15,6.275,315.0,-22.7,67.0,CP
20,16,8.2,315.0,-22.7,67.0,CP
20,17,8.75,315.0,-22.7,67.0,CP
20,18,7.725,315.0,-22.7,67.0,CP
20,19,6.9,315.0,-22.7,67.0,CP
20,20,6.675,315.0,-22.7,67.0,CP
20,21,6.75,315.0,-22.7,67.0,CP
20,22,6.65,315.0,-22.7,67.0,CP
20,23,6.25,315.0,-22.7,67.0,CP
21,0,5.15,315.0,-22.7,67.7,CP
21,1,5.35,315.0,-22.7,67.7,CP
21,2,3.95,315.0,-22.7,67.7,CP
21,3,3.45,315.0,-22.7,67.7,CP
21,4,2.95,315.0,-22.7,67.7,CP
21,5,2.9,315.0,-22.7,67.7,CP
21,6,2.65,315.0,-22.7,67.7,CP
21,7,2.7,315.0,-22.7,67.7,CP
21,8,2.2,315.0,-22.7,67.7,CP
21,9,3.6,315.0,-22.7,67.7,CP
21,10,4.15,315.0,-22.7,67.7,CP
21,11,4.275,315.0,-22.7,67.7,CP
21,12,4.85,315.0,-22.7,67.7,CP
21,13,5.675,315.0,-22.7,67.7,CP
21,14,6.775,315.0,-22.7,67.7,CP
21,15,7.675,315.0,-22.7,67.7,CP
21,16,8.425,315.0,-22.7,67.7,CP
21,17,8.9,315.0,-22.7,67.7,CP
28,0,4.1,315.0,-22.7,73.5,CP
28,1,3.25,315.0,-22.7,73.5,CP
28,2,3.1,315.0,-22.7,73.5,CP
28,3,3.15,315.0,-22.7,73.5,CP
28,4,3.5,315.0,-22.7,73.5,CP
28,5,3.2,315.0,-22.7,73.5,CP
28,6,3.0,315.0,-22.7,73.5,CP
28,7,2.5,315.0,-22.7,73.5,CP
28,8,2.35,315.0,-22.7,73.5,CP
28,9,3.725,315.0,-22.7,73.5,CP
28,10,4.65,315.0,-22.7,73.5,CP
28,11,4.55,315.0,-22.7,73.5,CP
28,12,4.6,315.0,-22.7,73.5,CP
28,13,5.0,315.0,-22.7,73.5,CP
28,14,5.85,315.0,-22.7,73.5,CP
28,15,7.15,315.0,-22.7,73.5,CP
28,16,7.975,315.0,-22.7,73.5,CP
28,17,8.475,315.0,-22.7,73.5,CP
28,18,7.55,315.0,-22.7,73.5,CP
28,19,7.363,315.0,-22.7,73.5,CP
28,20,7.625,315.0,-22.7,73.5,CP
28,21,8.2,315.0,-22.7,73.5,CP
28,22,6.55,315.0,-22.7,73.5,CP
28,23,6.3,315.0,-22.7,73.5,CP
29,0,6.75,315.0,-22.7,70.9,CP
29,1,6.95,315.0,-22.7,70.9,CP
29,2,6.75,315.0,-22.7,70.9,CP
