DayOfYear,Hour,foF2,Longitude,Latitude,F10.7,Station,foF2_C,foF2_U
1,23,4.450,315.000,-22.700,69.500,CP,6.264,6.265
1,0,4.900,315.000,-22.700,69.500,CP,5.966,5.769
1,1,3.850,315.000,-22.700,69.500,CP,5.708,5.433
1,11,6.750,315.000,-22.700,69.500,CP,6.020,5.729
1,12,7.750,315.000,-22.700,69.500,CP,6.131,6.126
1,13,8.725,315.000,-22.700,69.500,CP,6.532,6.828
2,23,3.850,315.000,-22.700,72.700,CP,6.200,6.251
2,0,2.950,315.000,-22.700,72.700,CP,5.907,5.753
2,1,3.150,315.000,-22.700,72.700,CP,5.644,5.417
2,11,6.050,315.000,-22.700,72.700,CP,5.979,5.694
2,12,7.200,315.000,-22.700,72.700,CP,6.093,6.088
2,13,8.300,315.000,-22.700,72.700,CP,6.489,6.793
3,23,2.750,315.000,-22.700,70.200,CP,6.137,6.237
3,0,2.800,315.000,-22.700,70.200,CP,5.847,5.737
3,1,2.900,315.000,-22.700,70.200,CP,5.580,5.400
3,11,6.600,315.000,-22.700,70.200,CP,5.939,5.659
3,12,7.700,315.000,-22.700,70.200,CP,6.055,6.051
3,13,8.075,315.000,-22.700,70.200,CP,6.446,6.757
4,23,5.150,315.000,-22.700,69.100,CP,6.073,6.223
4,0,4.400,315.000,-22.700,69.100,CP,5.787,5.721
4,1,4.150,315.000,-22.700,69.100,CP,5.516,5.383
4,11,5.500,315.000,-22.700,69.100,CP,5.899,5.624
4,12,7.050,315.000,-22.700,69.100,CP,6.018,6.014
4,13,8.200,315.000,-22.700,69.100,CP,6.403,6.722
5,23,4.750,315.000,-22.700,68.800,CP,6.009,6.209
5,0,4.200,315.000,-22.700,68.800,CP,5.728,5.705
5,1,3.850,315.000,-22.700,68.800,CP,5.452,5.366
5,11,3.800,315.000,-22.700,68.800,CP,5.858,5.589
5,12,7.400,315.000,-22.700,68.800,CP,5.980,5.976
5,13,8.475,315.000,-22.700,68.800,CP,6.360,6.687
6,23,3.600,315.000,-22.700,69.600,CP,5.945,6.195
6,0,3.550,315.000,-22.700,69.600,CP,5.668,5.689
6,1,3.550,315.000,-22.700,69.600,CP,5.388,5.350
6,11,6.350,315.000,-22.700,69.600,CP,5.818,5.554
6,12,7.725,315.000,-22.700,69.600,CP,5.942,5.939
6,13,7.950,315.000,-22.700,69.600,CP,6.316,6.652
7,23,4.950,315.000,-22.700,69.100,CP,5.881,6.181
7,0,4.350,315.000,-22.700,69.100,CP,5.609,5.673
7,1,4.700,315.000,-22.700,69.100,CP,5.324,5.333
7,11,6.725,315.000,-22.700,69.100,CP,5.778,5.519
7,12,6.500,315.000,-22.700,69.100,CP,5.904,5.901
7,13,6.150,315.000,-22.700,69.100,CP,6.273,6.616
8,23,3.500,315.000,-22.700,69.000,CP,5.817,6.167
8,0,3.550,315.000,-22.700,69.000,CP,5.549,5.657
8,1,3.750,315.000,-22.700,69.000,CP,5.260,5.316
8,11,5.175,315.000,-22.700,69.000,CP,5.737,5.485
8,12,6.400,315.000,-22.700,69.000,CP,5.867,5.864
8,13,6.900,315.000,-22.700,69.000,CP,6.230,6.581
9,23,2.550,315.000,-22.700,69.200,CP,5.753,6.153
9,0,2.450,315.000,-22.700,69.200,CP,5.489,5.641
9,1,2.650,315.000,-22.700,69.200,CP,5.196,5.300
9,11,6.200,315.000,-22.700,69.200,CP,5.697,5.450
9,12,7.550,315.000,-22.700,69.200,CP,5.829,5.827
9,13,7.750,315.000,-22.700,69.200,CP,6.187,6.546
10,23,2.600,315.000,-22.700,67.800,CP,5.689,6.139
10,0,2.800,315.000,-22.700,67.800,CP,5.430,5.625
10,1,2.750,315.000,-22.700,67.800,CP,5.132,5.283
10,11,6.750,315.000,-22.700,67.800,CP,5.657,5.415
10,12,7.750,315.000,-22.700,67.800,CP,5.791,5.789
10,13,8.600,315.000,-22.700,67.800,CP,6.144,6.510
11,23,5.450,315.000,-22.700,65.900,CP,5.626,6.125
11,0,4.850,315.000,-22.700,65.900,CP,5.370,5.609
11,1,3.700,315.000,-22.700,65.900,CP,5.068,5.266
11,11,7.025,315.000,-22.700,65.900,CP,5.616,5.380
11,12,7.400,315.000,-22.700,65.900,CP,5.753,5.752
11,13,7.450,315.000,-22.700,65.900,CP,6.100,6.475
12,23,3.500,315.000,-22.700,67.300,CP,5.562,6.111
12,0,3.300,315.000,-22.700,67.300,CP,5.311,5.593
12,1,3.150,315.000,-22.700,67.300,CP,5.004,5.249
12,11,5.400,315.000,-22.700,67.300,CP,5.576,5.345
12,12,5.950,315.000,-22.700,67.300,CP,5.715,5.715
12,13,6.825,315.000,-22.700,67.300,CP,6.057,6.440
13,23,3.000,315.000,-22.700,66.600,CP,5.498,6.097
13,0,3.250,315.000,-22.700,66.600,CP,5.251,5.577
13,1,3.150,315.000,-22.700,66.600,CP,4.940,5.233
13,11,7.550,315.000,-22.700,66.600,CP,5.536,5.310
13,12,8.350,315.000,-22.700,66.600,CP,5.678,5.677
13,13,9.000,315.000,-22.700,66.600,CP,6.014,6.405
14,23,3.350,315.000,-22.700,67.800,CP,5.434,6.083
14,0,3.400,315.000,-22.700,67.800,CP,5.191,5.561
14,1,3.200,315.000,-22.700,67.800,CP,4.876,5.216
14,11,5.701,315.000,-22.700,67.800,CP,5.495,5.275
14,12,6.100,315.000,-22.700,67.800,CP,5.640,5.640
14,13,7.100,315.000,-22.700,67.800,CP,5.971,6.369
15,23,3.750,315.000,-22.700,67.300,CP,5.370,6.069
15,0,3.000,315.000,-22.700,67.300,CP,5.132,5.545
15,1,2.650,315.000,-22.700,67.300,CP,4.811,5.199
15,11,5.400,315.000,-22.700,67.300,CP,5.455,5.240
15,12,6.100,315.000,-22.700,67.300,CP,5.602,5.602
15,13,7.750,315.000,-22.700,67.300,CP,5.928,6.334
16,23,2.800,315.000,-22.700,67.500,CP,5.385,6.086
16,0,2.650,315.000,-22.700,67.500,CP,5.143,5.554
16,1,2.800,315.000,-22.700,67.500,CP,4.815,5.194
16,11,5.050,315.000,-22.700,67.500,CP,5.452,5.242
16,12,6.050,315.000,-22.700,67.500,CP,5.595,5.604
16,13,6.925,315.000,-22.700,67.500,CP,5.905,6.332
17,23,5.000,315.000,-22.700,66.400,CP,5.400,6.103
17,0,4.750,315.000,-22.700,66.400,CP,5.153,5.562
17,1,3.850,315.000,-22.700,66.400,CP,4.819,5.188
17,11,4.800,315.000,-22.700,66.400,CP,5.449,5.244
17,12,6.125,315.000,-22.700,66.400,CP,5.587,5.605
17,13,7.600,315.000,-22.700,66.400,CP,5.882,6.329
18,23,2.150,315.000,-22.700,66.600,CP,5.415,6.120
18,0,2.250,315.000,-22.700,66.600,CP,5.164,5.571
18,1,4.200,315.000,-22.700,66.600,CP,4.823,5.182
18,11,7.850,315.000,-22.700,66.600,CP,5.446,5.246
18,12,8.850,315.000,-22.700,66.600,CP,5.579,5.607
18,13,6.800,315.000,-22.700,66.600,CP,5.859,6.327
19,23,7.500,315.000,-22.700,67.400,CP,5.430,6.137
19,0,3.500,315.000,-22.700,67.400,CP,5.175,5.579
19,1,5.400,315.000,-22.700,67.400,CP,4.827,5.176
19,11,5.450,315.000,-22.700,67.400,CP,5.443,5.248
19,12,5.850,315.000,-22.700,67.400,CP,5.572,5.608
19,13,7.700,315.000,-22.700,67.400,CP,5.837,6.324
20,23,2.400,315.000,-22.700,67.000,CP,5.446,6.154
20,0,2.100,315.000,-22.700,67.000,CP,5.185,5.588
20,1,2.350,315.000,-22.700,67.000,CP,4.830,5.171
20,11,5.700,315.000,-22.700,67.000,CP,5.440,5.250
20,12,6.275,315.000,-22.700,67.000,CP,5.564,5.609
20,13,8.200,315.000,-22.700,67.000,CP,5.814,6.322
21,23,3.950,315.000,-22.700,67.700,CP,5.461,6.171
21,0,3.450,315.000,-22.700,67.700,CP,5.196,5.596
21,1,2.950,315.000,-22.700,67.700,CP,4.834,5.165
21,11,6.775,315.000,-22.700,67.700,CP,5.437,5.252
21,12,7.675,315.000,-22.700,67.700,CP,5.557,5.611
21,13,8.425,315.000,-22.700,67.700,CP,5.791,6.320
25,23,5.350,315.000,-22.700,72.700,CP,5.521,6.240
25,0,3.800,315.000,-22.700,72.700,CP,5.239,5.631
26,23,2.750,315.000,-22.700,74.300,CP,5.536,6.257
26,0,2.650,315.000,-22.700,74.300,CP,5.249,5.639
26,1,2.750,315.000,-22.700,74.300,CP,4.853,5.136
26,11,5.650,315.000,-22.700,74.300,CP,5.422,5.263
26,12,6.650,315.000,-22.700,74.300,CP,5.519,5.618
26,13,7.500,315.000,-22.700,74.300,CP,5.678,6.307
27,23,5.600,315.000,-22.700,72.800,CP,5.551,6.274
27,0,5.300,315.000,-22.700,72.800,CP,5.260,5.648
27,1,4.600,315.000,-22.700,72.800,CP,4.857,5.130
27,11,5.150,315.000,-22.700,72.800,CP,5.419,5.265
27,12,6.275,315.000,-22.700,72.800,CP,5.511,5.619
27,13,7.350,315.000,-22.700,72.800,CP,5.655,6.305
28,23,3.100,315.000,-22.700,73.500,CP,5.566,6.291
28,0,3.150,315.000,-22.700,73.500,CP,5.271,5.656
28,1,3.500,315.000,-22.700,73.500,CP,4.860,5.124
28,11,5.850,315.000,-22.700,73.500,CP,5.416,5.267
28,12,7.150,315.000,-22.700,73.500,CP,5.503,5.620
28,13,7.975,315.000,-22.700,73.500,CP,5.633,6.303
29,23,6.750,315.000,-22.700,70.900,CP,5.581,6.308
29,0,6.150,315.000,-22.700,70.900,CP,5.281,5.665
29,1,6.050,315.000,-22.700,70.900,CP,4.864,5.118
29,11,6.200,315.000,-22.700,70.900,CP,5.413,5.269
29,12,7.500,315.000,-22.700,70.900,CP,5.496,5.622
29,13,8.700,315.000,-22.700,70.900,CP,5.610,6.300
30,23,3.450,315.000,-22.700,71.400,CP,5.596,6.325
