DayOfYear,Hour,foF2,Longitude,Latitude,F10.7,Station,foF2_C,foF2_U
2,0,7.800,315.000,-22.700,72.700,CP,5.907,5.753
2,1,4.700,315.000,-22.700,72.700,CP,5.644,5.417
2,2,3.850,315.000,-22.700,72.700,CP,5.250,5.130
2,3,2.950,315.000,-22.700,72.700,CP,4.806,4.856
2,4,3.150,315.000,-22.700,72.700,CP,4.553,4.585
2,5,3.200,315.000,-22.700,72.700,CP,4.400,4.185
2,6,2.550,315.000,-22.700,72.700,CP,3.952,3.609
2,7,2.100,315.000,-22.700,72.700,CP,3.301,3.198
2,8,2.050,315.000,-22.700,72.700,CP,3.223,3.438
2,9,3.550,315.000,-22.700,72.700,CP,4.138,4.297
2,10,4.200,315.000,-22.700,72.700,CP,5.359,5.183
2,11,4.457,315.000,-22.700,72.700,CP,5.979,5.694
2,12,4.425,315.000,-22.700,72.700,CP,6.093,6.088
2,13,5.250,315.000,-22.700,72.700,CP,6.489,6.793
2,14,6.050,315.000,-22.700,72.700,CP,7.409,7.759
2,15,7.200,315.000,-22.700,72.700,CP,8.321,8.580
2,16,8.300,315.000,-22.700,72.700,CP,8.779,9.025
2,17,8.950,315.000,-22.700,72.700,CP,8.862,9.170
2,18,9.800,315.000,-22.700,72.700,CP,8.744,9.120
2,19,10.525,315.000,-22.700,72.700,CP,8.405,8.865
2,20,5.775,315.000,-22.700,72.700,CP,7.843,8.381
2,21,4.950,315.000,-22.700,72.700,CP,7.208,7.706
2,22,4.750,315.000,-22.700,72.700,CP,6.638,6.943
3,0,4.700,315.000,-22.700,70.200,CP,5.847,5.737
3,1,3.500,315.000,-22.700,70.200,CP,5.580,5.400
3,2,2.750,315.000,-22.700,70.200,CP,5.172,5.113
3,3,2.800,315.000,-22.700,70.200,CP,4.719,4.840
3,4,2.900,315.000,-22.700,70.200,CP,4.471,4.570
3,5,2.900,315.000,-22.700,70.200,CP,4.331,4.172
3,6,2.000,315.000,-22.700,70.200,CP,3.896,3.594
3,7,2.600,315.000,-22.700,70.200,CP,3.255,3.177
3,8,3.875,315.000,-22.700,70.200,CP,3.182,3.408
3,9,4.475,315.000,-22.700,70.200,CP,4.095,4.262
3,10,3.900,315.000,-22.700,70.200,CP,5.315,5.149
3,11,4.601,315.000,-22.700,70.200,CP,5.939,5.659
3,12,5.050,315.000,-22.700,70.200,CP,6.055,6.051
3,13,5.450,315.000,-22.700,70.200,CP,6.446,6.757
3,14,6.600,315.000,-22.700,70.200,CP,7.357,7.733
3,15,7.700,315.000,-22.700,70.200,CP,8.262,8.564
3,16,8.075,315.000,-22.700,70.200,CP,8.718,9.013
3,17,8.575,315.000,-22.700,70.200,CP,8.799,9.158
3,18,8.900,315.000,-22.700,70.200,CP,8.685,9.109
3,19,8.625,315.000,-22.700,70.200,CP,8.357,8.859
3,20,8.475,315.000,-22.700,70.200,CP,7.803,8.378
3,21,7.300,315.000,-22.700,70.200,CP,7.160,7.700
3,22,5.850,315.000,-22.700,70.200,CP,6.577,6.933
10,0,4.650,315.000,-22.700,67.800,CP,5.430,5.625
10,1,4.700,315.000,-22.700,67.800,CP,5.132,5.283
10,2,2.600,315.000,-22.700,67.800,CP,4.625,4.994
10,3,2.800,315.000,-22.700,67.800,CP,4.110,4.725
10,4,2.750,315.000,-22.700,67.800,CP,3.900,4.467
10,5,2.450,315.000,-22.700,67.800,CP,3.851,4.081
10,6,2.700,315.000,-22.700,67.800,CP,3.504,3.491
10,7,2.400,315.000,-22.700,67.800,CP,2.930,3.025
10,8,2.600,315.000,-22.700,67.800,CP,2.889,3.196
10,9,3.500,315.000,-22.700,67.800,CP,3.795,4.022
10,10,3.750,315.000,-22.700,67.800,CP,5.008,4.910
10,11,5.250,315.000,-22.700,67.800,CP,5.657,5.415
10,12,5.925,315.000,-22.700,67.800,CP,5.791,5.789
10,13,5.875,315.000,-22.700,67.800,CP,6.144,6.510
10,14,6.750,315.000,-22.700,67.800,CP,6.987,7.552
10,15,7.750,315.000,-22.700,67.800,CP,7.850,8.454
10,16,8.600,315.000,-22.700,67.800,CP,8.286,8.929
10,17,9.200,315.000,-22.700,67.800,CP,8.354,9.068
10,18,9.500,315.000,-22.700,67.800,CP,8.270,9.031
10,19,8.775,315.000,-22.700,67.800,CP,8.027,8.814
10,20,6.950,315.000,-22.700,67.800,CP,7.525,8.352
10,21,6.450,315.000,-22.700,67.800,CP,6.826,7.660
10,22,6.150,315.000,-22.700,67.800,CP,6.150,6.861
12,0,4.350,315.000,-22.700,67.300,CP,5.311,5.593
12,1,3.700,315.000,-22.700,67.300,CP,5.004,5.249
12,2,3.500,315.000,-22.700,67.300,CP,4.468,4.960
12,3,3.300,315.000,-22.700,67.300,CP,3.937,4.692
12,4,3.150,315.000,-22.700,67.300,CP,3.737,4.437
12,5,3.950,315.000,-22.700,67.300,CP,3.714,4.055
12,6,3.600,315.000,-22.700,67.300,CP,3.392,3.461
12,7,3.200,315.000,-22.700,67.300,CP,2.837,2.981
12,8,2.450,315.000,-22.700,67.300,CP,2.805,3.136
12,9,3.800,315.000,-22.700,67.300,CP,3.709,3.954
12,10,4.313,315.000,-22.700,67.300,CP,4.920,4.841
12,11,4.375,315.000,-22.700,67.300,CP,5.576,5.345
12,12,4.650,315.000,-22.700,67.300,CP,5.715,5.715
12,13,4.900,315.000,-22.700,67.300,CP,6.057,6.440
12,14,5.400,315.000,-22.700,67.300,CP,6.882,7.501
12,15,5.950,315.000,-22.700,67.300,CP,7.733,8.423
12,16,6.825,315.000,-22.700,67.300,CP,8.163,8.905
12,17,7.325,315.000,-22.700,67.300,CP,8.227,9.043
12,18,8.350,315.000,-22.700,67.300,CP,8.151,9.008
12,19,9.100,315.000,-22.700,67.300,CP,7.932,8.801
12,20,9.475,315.000,-22.700,67.300,CP,7.445,8.345
12,21,7.950,315.000,-22.700,67.300,CP,6.731,7.649
12,22,4.850,315.000,-22.700,67.300,CP,6.028,6.840
12,23,4.350,315.000,-22.700,67.300,CP,5.562,6.111
13,0,4.250,315.000,-22.700,66.600,CP,5.251,5.577
13,1,3.950,315.000,-22.700,66.600,CP,4.940,5.233
13,2,3.000,315.000,-22.700,66.600,CP,4.390,4.944
13,3,3.250,315.000,-22.700,66.600,CP,3.850,4.676
13,4,3.150,315.000,-22.700,66.600,CP,3.656,4.423
13,5,2.600,315.000,-22.700,66.600,CP,3.645,4.042
13,6,2.350,315.000,-22.700,66.600,CP,3.336,3.447
13,7,2.375,315.000,-22.700,66.600,CP,2.791,2.960
13,8,3.950,315.000,-22.700,66.600,CP,2.763,3.106
13,9,4.475,315.000,-22.700,66.600,CP,3.666,3.919
13,10,4.275,315.000,-22.700,66.600,CP,4.876,4.807
13,11,4.950,315.000,-22.700,66.600,CP,5.536,5.310
13,12,5.250,315.000,-22.700,66.600,CP,5.678,5.677
13,13,6.100,315.000,-22.700,66.600,CP,6.014,6.405
13,14,7.550,315.000,-22.700,66.600,CP,6.829,7.475
13,15,8.350,315.000,-22.700,66.600,CP,7.674,8.407
13,16,9.000,315.000,-22.700,66.600,CP,8.101,8.893
13,17,9.675,315.000,-22.700,66.600,CP,8.164,9.030
13,18,9.500,315.000,-22.700,66.600,CP,8.092,8.997
13,19,8.775,315.000,-22.700,66.600,CP,7.885,8.795
13,20,7.950,315.000,-22.700,66.600,CP,7.405,8.342
13,21,6.800,315.000,-22.700,66.600,CP,6.683,7.643
20,0,3.000,315.000,-22.700,67.000,CP,5.185,5.588
20,1,2.600,315.000,-22.700,67.000,CP,4.830,5.171
20,2,2.400,315.000,-22.700,67.000,CP,4.230,4.826
20,3,2.100,315.000,-22.700,67.000,CP,3.645,4.533
20,4,2.350,315.000,-22.700,67.000,CP,3.422,4.275
20,5,3.800,315.000,-22.700,67.000,CP,3.447,3.904
20,6,2.600,315.000,-22.700,67.000,CP,3.260,3.334
20,7,2.500,315.000,-22.700,67.000,CP,2.828,2.875
20,8,2.250,315.000,-22.700,67.000,CP,2.790,3.035
20,9,3.750,315.000,-22.700,67.000,CP,3.596,3.852
20,10,4.150,315.000,-22.700,67.000,CP,4.759,4.744
20,11,4.400,315.000,-22.700,67.000,CP,5.440,5.250
20,12,4.825,315.000,-22.700,67.000,CP,5.564,5.609
20,13,4.775,315.000,-22.700,67.000,CP,5.814,6.322
20,14,5.700,315.000,-22.700,67.000,CP,6.567,7.387
20,15,6.275,315.000,-22.700,67.000,CP,7.418,8.335
20,16,8.200,315.000,-22.700,67.000,CP,7.856,8.855
20,17,8.750,315.000,-22.700,67.000,CP,7.910,9.035
20,18,7.725,315.000,-22.700,67.000,CP,7.875,9.032
