DayOfYear,Hour,foF2,Longitude,Latitude,F10.7,Station,foF2_C,foF2_U
5,0,5.700,315.000,-22.700,68.800,CP,5.728,5.705
5,1,4.950,315.000,-22.700,68.800,CP,5.452,5.366
5,2,4.750,315.000,-22.700,68.800,CP,5.016,5.079
5,3,4.200,315.000,-22.700,68.800,CP,4.545,4.807
5,4,3.850,315.000,-22.700,68.800,CP,4.308,4.540
5,5,4.000,315.000,-22.700,68.800,CP,4.194,4.146
5,6,3.850,315.000,-22.700,68.800,CP,3.784,3.564
5,7,3.450,315.000,-22.700,68.800,CP,3.162,3.133
5,8,3.000,315.000,-22.700,68.800,CP,3.098,3.347
5,9,5.863,315.000,-22.700,68.800,CP,4.009,4.194
5,10,4.250,315.000,-22.700,68.800,CP,5.227,5.080
5,11,3.900,315.000,-22.700,68.800,CP,5.858,5.589
5,12,4.850,315.000,-22.700,68.800,CP,5.980,5.976
5,13,5.225,315.000,-22.700,68.800,CP,6.360,6.687
5,14,3.800,315.000,-22.700,68.800,CP,7.251,7.681
5,15,7.400,315.000,-22.700,68.800,CP,8.144,8.532
5,16,8.475,315.000,-22.700,68.800,CP,8.594,8.989
5,17,8.325,315.000,-22.700,68.800,CP,8.672,9.132
5,18,8.625,315.000,-22.700,68.800,CP,8.566,9.087
5,19,9.275,315.000,-22.700,68.800,CP,8.263,8.846
5,20,8.801,315.000,-22.700,68.800,CP,7.724,8.370
5,21,6.650,315.000,-22.700,68.800,CP,7.065,7.689
5,22,5.700,315.000,-22.700,68.800,CP,6.455,6.912
5,23,5.750,315.000,-22.700,68.800,CP,6.009,6.209
25,0,7.025,315.000,-22.700,72.700,CP,5.239,5.631
25,1,7.125,315.000,-22.700,72.700,CP,4.849,5.142
25,2,5.350,315.000,-22.700,72.700,CP,4.226,4.741
25,3,3.800,315.000,-22.700,72.700,CP,3.614,4.423
31,0,6.500,315.000,-22.700,70.000,CP,5.303,5.682
31,1,7.200,315.000,-22.700,70.000,CP,4.872,5.107
31,2,6.950,315.000,-22.700,70.000,CP,4.222,4.640
31,3,5.300,315.000,-22.700,70.000,CP,3.577,4.291
31,4,5.700,315.000,-22.700,70.000,CP,3.267,4.014
31,5,4.350,315.000,-22.700,70.000,CP,3.312,3.657
31,6,2.500,315.000,-22.700,70.000,CP,3.339,3.151
31,7,2.400,315.000,-22.700,70.000,CP,3.115,2.783
31,8,2.450,315.000,-22.700,70.000,CP,3.033,3.012
31,9,3.750,315.000,-22.700,70.000,CP,3.631,3.855
31,10,4.250,315.000,-22.700,70.000,CP,4.696,4.757
31,11,4.500,315.000,-22.700,70.000,CP,5.407,5.273
