DayOfYear,Hour,foF2,Longitude,Latitude,F10.7,Station,foF2_C,foF2_U
79,0,2.800,315.000,-22.700,76.200,CP,4.127,3.665
79,1,2.750,315.000,-22.700,76.200,CP,3.376,2.971
79,2,3.000,315.000,-22.700,76.200,CP,2.770,2.459
79,3,3.200,315.000,-22.700,76.200,CP,2.459,2.238
79,4,2.750,315.000,-22.700,76.200,CP,2.594,2.396
79,5,3.150,315.000,-22.700,76.200,CP,2.974,2.608
79,6,3.100,315.000,-22.700,76.200,CP,3.086,2.442
79,7,1.850,315.000,-22.700,76.200,CP,2.724,2.079
79,8,3.150,315.000,-22.700,76.200,CP,2.424,2.226
79,9,4.775,315.000,-22.700,76.200,CP,2.931,3.170
79,10,5.575,315.000,-22.700,76.200,CP,4.229,4.361
79,11,5.925,315.000,-22.700,76.200,CP,5.480,5.171
79,12,8.175,315.000,-22.700,76.200,CP,6.055,5.669
79,13,7.825,315.000,-22.700,76.200,CP,6.264,6.360
79,14,8.475,315.000,-22.700,76.200,CP,6.812,7.433
79,15,8.625,315.000,-22.700,76.200,CP,7.843,8.597
79,16,9.175,315.000,-22.700,76.200,CP,8.845,9.483
79,17,9.525,315.000,-22.700,76.200,CP,9.347,9.922
79,18,10.075,315.000,-22.700,76.200,CP,9.323,9.900
79,19,9.663,315.000,-22.700,76.200,CP,8.945,9.455
79,20,8.250,315.000,-22.700,76.200,CP,8.266,8.613
79,21,6.050,315.000,-22.700,76.200,CP,7.284,7.404
79,22,3.000,315.000,-22.700,76.200,CP,6.132,5.979
172,0,2.100,315.000,-22.700,68.600,CP,1.622,1.756
172,1,1.900,315.000,-22.700,68.600,CP,2.035,1.661
172,2,2.150,315.000,-22.700,68.600,CP,2.131,1.591
172,3,2.650,315.000,-22.700,68.600,CP,2.147,1.658
172,4,2.600,315.000,-22.700,68.600,CP,2.365,1.900
172,5,1.900,315.000,-22.700,68.600,CP,2.497,2.129
172,6,3.650,315.000,-22.700,68.600,CP,2.169,2.127
172,7,4.475,315.000,-22.700,68.600,CP,1.618,1.989
172,8,4.800,315.000,-22.700,68.600,CP,1.473,2.110
172,9,5.213,315.000,-22.700,68.600,CP,1.995,2.745
172,10,5.225,315.000,-22.700,68.600,CP,2.854,3.695
172,11,5.075,315.000,-22.700,68.600,CP,3.572,4.541
172,12,4.503,315.000,-22.700,68.600,CP,4.001,5.081
172,13,5.351,315.000,-22.700,68.600,CP,4.343,5.404
172,14,4.475,315.000,-22.700,68.600,CP,4.795,5.637
172,15,5.300,315.000,-22.700,68.600,CP,5.257,5.828
172,16,4.900,315.000,-22.700,68.600,CP,5.487,6.019
172,17,2.900,315.000,-22.700,68.600,CP,5.513,6.202
172,18,2.100,315.000,-22.700,68.600,CP,5.612,6.181
356,0,5.750,315.000,-22.700,68.700,CP,6.600,5.969
356,1,4.250,315.000,-22.700,68.700,CP,6.394,5.650
356,2,4.400,315.000,-22.700,68.700,CP,6.164,5.367
356,3,5.150,315.000,-22.700,68.700,CP,5.812,5.084
356,4,4.750,315.000,-22.700,68.700,CP,5.487,4.787
356,5,4.050,315.000,-22.700,68.700,CP,5.186,4.362
356,6,3.700,315.000,-22.700,68.700,CP,4.610,3.800
356,7,3.650,315.000,-22.700,68.700,CP,3.864,3.466
356,8,2.950,315.000,-22.700,68.700,CP,3.736,3.801
356,9,3.975,315.000,-22.700,68.700,CP,4.659,4.707
356,10,4.250,315.000,-22.700,68.700,CP,5.893,5.591
356,11,4.725,315.000,-22.700,68.700,CP,6.474,6.107
356,12,5.700,315.000,-22.700,68.700,CP,6.552,6.521
356,13,6.475,315.000,-22.700,68.700,CP,6.997,7.199
356,14,7.750,315.000,-22.700,68.700,CP,8.019,8.060
356,15,8.500,315.000,-22.700,68.700,CP,8.994,8.766
356,16,9.150,315.000,-22.700,68.700,CP,9.472,9.163
356,17,9.475,315.000,-22.700,68.700,CP,9.558,9.308
356,18,10.125,315.000,-22.700,68.700,CP,9.381,9.235
356,19,10.950,315.000,-22.700,68.700,CP,8.907,8.925
356,20,11.475,315.000,-22.700,68.700,CP,8.272,8.414
356,21,8.175,315.000,-22.700,68.700,CP,7.736,7.772
356,22,7.450,315.000,-22.700,68.700,CP,7.329,7.073
356,23,6.050,315.000,-22.700,68.700,CP,6.934,6.435
79,0,5.375,273.000,30.500,76.200,ElginAB,4.919,4.660
79,1,5.325,273.000,30.500,76.200,ElginAB,3.977,3.912
